Idx,Longitude,,Latitude,,Length,Total Length,Heading,,X (View Proj),Y (View Proj),,,차량종류,색상,Label
1,127.1291454, E,37.55443515, N,0.02759 m,---,11.0822,,211411.451,550553.586,,,car,은색,2-1
2,127.1291455, E,37.55443539, N,0.03758 m,0.02759 m,12.9274,,211411.456,550553.613,,,,,
3,127.1291456, E,37.55443572, N,0.02837 m,0.0652 m,22.7894,,211411.464,550553.65,,,,,
4,127.1291457, E,37.55443596, N,0.02278 m,0.0935 m,29.4554,,211411.475,550553.676,,,,,
5,127.1291459, E,37.55443613, N,0.0258 m,0.1163 m,27.2848,,211411.486,550553.696,,,,,
6,127.129146, E,37.55443634, N,0.03122 m,0.1421 m,35.9255,,211411.498,550553.718,,,,,
7,127.1291462, E,37.55443657, N,0.02722 m,0.1733 m,19.1258,,211411.516,550553.744,,,,,
8,127.1291463, E,37.5544368, N,0.03681 m,0.2006 m,23.4994,,211411.525,550553.77,,,,,
9,127.1291465, E,37.5544371, N,0.0519 m,0.2374 m,16.6674,,211411.54,550553.803,,,,,
10,127.1291466, E,37.55443755, N,0.0538 m,0.2893 m,11.9123,,211411.555,550553.853,,,,,
11,127.1291468, E,37.55443803, N,0.0624 m,0.3431 m,11.2079,,211411.566,550553.906,,,,,
12,127.1291469, E,37.55443858, N,0.06 m,0.4055 m,14.1149,,211411.578,550553.967,,,,,
13,127.1291471, E,37.5544391, N,0.0618 m,0.4654 m,13.6705,,211411.592,550554.025,,,,,
14,127.1291472, E,37.55443964, N,0.0881 m,0.527 m,20.0617,,211411.607,550554.085,,,,,
15,127.1291476, E,37.55444039, N,0.0906 m,0.615 m,11.5752,,211411.637,550554.168,,,,,
16,127.1291478, E,37.55444119, N,0.088 m,0.706 m,20.6267,,211411.655,550554.257,,,,,
17,127.1291481, E,37.55444193, N,0.0893 m,0.794 m,16.223,,211411.686,550554.339,,,,,
18,127.1291484, E,37.5544427, N,0.1271 m,0.883 m,16.583,,211411.711,550554.425,,,,,
19,127.1291488, E,37.5544438, N,0.1192 m,1.01 m,18.8567,,211411.747,550554.547,,,,,
20,127.1291493, E,37.55444482, N,0.1501 m,1.129 m,12.2336,,211411.785,550554.66,,,,,
21,127.1291496, E,37.55444614, N,0.143 m,1.28 m,23.8116,,211411.817,550554.806,,,,,
22,127.1291503, E,37.55444732, N,0.1373 m,1.423 m,15.0859,,211411.874,550554.937,,,,,
23,127.1291507, E,37.55444851, N,0.1498 m,1.56 m,15.3716,,211411.91,550555.07,,,,,
24,127.1291511, E,37.55444981, N,0.1649 m,1.71 m,19.2576,,211411.949,550555.214,,,,,
25,127.1291517, E,37.55445122, N,0.1572 m,1.875 m,21.1161,,211412.004,550555.37,,,,,
26,127.1291524, E,37.55445254, N,0.2341 m,2.032 m,15.4549,,211412.06,550555.517,,,,,
27,127.1291531, E,37.55445457, N,0.1988 m,2.266 m,17.5879,,211412.122,550555.743,,,,,
28,127.1291538, E,37.55445628, N,0.1846 m,2.465 m,19.7325,,211412.182,550555.932,,,,,
29,127.1291545, E,37.55445784, N,0.205 m,2.649 m,22.4073,,211412.244,550556.106,,,,,
30,127.1291554, E,37.55445955, N,0.2306 m,2.854 m,18.3362,,211412.322,550556.296,,,,,
31,127.1291562, E,37.55446152, N,0.2395 m,3.085 m,13.9839,,211412.394,550556.514,,,,,
32,127.1291568, E,37.55446362, N,0.2235 m,3.324 m,20.1606,,211412.452,550556.747,,,,,
33,127.1291577, E,37.55446551, N,0.2442 m,3.548 m,18.4837,,211412.528,550556.957,,,,,
34,127.1291586, E,37.55446759, N,0.2582 m,3.792 m,17.6042,,211412.605,550557.189,,,,,
35,127.1291595, E,37.55446981, N,0.2729 m,4.05 m,15.2145,,211412.683,550557.435,,,,,
36,127.1291603, E,37.55447218, N,0.2909 m,4.323 m,18.2446,,211412.754,550557.698,,,,,
37,127.1291613, E,37.55447467, N,0.3141 m,4.614 m,18.5136,,211412.845,550557.975,,,,,
38,127.1291624, E,37.55447736, N,0.3055 m,4.928 m,16.0797,,211412.944,550558.273,,,,,
39,127.1291634, E,37.55448, N,0.3185 m,5.234 m,20.7256,,211413.029,550558.566,,,,,
40,127.1291647, E,37.55448268, N,0.286 m,5.552 m,14.9543,,211413.141,550558.864,,,,,
41,127.1291655, E,37.55448517, N,0.34 m,5.838 m,15.1742,,211413.214,550559.141,,,,,
42,127.1291665, E,37.55448813, N,0.3273 m,6.178 m,20.5462,,211413.303,550559.469,,,,,
43,127.1291678, E,37.55449089, N,0.3405 m,6.505 m,15.525,,211413.417,550559.776,,,,,
44,127.1291688, E,37.55449385, N,0.3599 m,6.846 m,18.6223,,211413.508,550560.104,,,,,
45,127.1291701, E,37.55449692, N,0.3767 m,7.206 m,15.7083,,211413.623,550560.445,,,,,
46,127.1291713, E,37.55450019, N,0.3627 m,7.583 m,17.7583,,211413.724,550560.808,,,,,
47,127.1291725, E,37.5545033, N,0.3678 m,7.945 m,12.9724,,211413.834,550561.153,,,,,
48,127.1291735, E,37.55450653, N,0.3764 m,8.313 m,19.8652,,211413.916,550561.512,,,,,
49,127.1291749, E,37.55450972, N,0.3617 m,8.689 m,14.2581,,211414.044,550561.866,,,,,
50,127.1291759, E,37.55451288, N,0.3708 m,9.051 m,14.007,,211414.132,550562.217,,,,,
51,127.1291769, E,37.55451612, N,0.3998 m,9.422 m,13.6145,,211414.222,550562.577,,,,,
52,127.129178, E,37.55451962, N,0.3682 m,9.822 m,15.9625,,211414.315,550562.965,,,,,
53,127.1291792, E,37.55452281, N,0.4161 m,10.19 m,15.9424,,211414.416,550563.32,,,,,
54,127.1291805, E,37.55452642, N,0.4063 m,10.606 m,12.1451,,211414.53,550563.72,,,,,
55,127.1291814, E,37.55452999, N,0.3803 m,11.012 m,14.3254,,211414.615,550564.117,,,,,
56,127.1291825, E,37.55453331, N,0.4153 m,11.393 m,15.5603,,211414.708,550564.486,,,,,
57,127.1291837, E,37.55453692, N,0.3964 m,11.808 m,13.3073,,211414.819,550564.886,,,,,
58,127.1291848, E,37.55454039, N,0.4252 m,12.204 m,15.9974,,211414.91,550565.272,,,,,
59,127.1291861, E,37.55454408, N,0.3942 m,12.629 m,13.8104,,211415.026,550565.681,,,,,
60,127.1291872, E,37.55454753, N,0.4229 m,13.024 m,13.2634,,211415.12,550566.064,,,,,
61,127.1291883, E,37.55455123, N,0.4059 m,13.447 m,9.6747,,211415.216,550566.475,,,,,
62,127.129189, E,37.55455484, N,0.4247 m,13.853 m,10.6268,,211415.284,550566.876,,,,,
63,127.1291899, E,37.5545586, N,0.4487 m,14.277 m,11.7176,,211415.362,550567.293,,,,,
64,127.129191, E,37.55456256, N,0.4234 m,14.726 m,14.1149,,211415.452,550567.733,,,,,
65,127.1291921, E,37.55456626, N,0.4606 m,15.149 m,11.7398,,211415.555,550568.143,,,,,
66,127.1291932, E,37.55457032, N,0.4557 m,15.61 m,10.7943,,211415.648,550568.595,,,,,
67,127.1291942, E,37.55457436, N,0.4443 m,16.066 m,11.0063,,211415.733,550569.042,,,,,
68,127.1291951, E,37.55457828, N,0.4554 m,16.51 m,5.2486,,211415.817,550569.479,,,,,
69,127.1291956, E,37.55458237, N,0.4744 m,16.965 m,7.139,,211415.858,550569.932,,,,,
70,127.1291963, E,37.55458661, N,0.4969 m,17.44 m,7.8214,,211415.916,550570.403,,,,,
71,127.129197, E,37.55459105, N,0.4829 m,17.937 m,7.0131,,211415.983,550570.895,,,,,
72,127.1291977, E,37.55459537, N,0.4906 m,18.419 m,5.8897,,211416.042,550571.375,,,,,
73,127.1291983, E,37.55459976, N,0.4934 m,18.91 m,3.8428,,211416.091,550571.863,,,,,
74,127.1291986, E,37.5546042, N,0.4969 m,19.403 m,1.822,,211416.124,550572.355,,,,,
75,127.1291988, E,37.55460867, N,0.514 m,19.9 m,359.3566,,211416.139,550572.852,,,,,
76,127.1291987, E,37.5546133, N,0.51 m,20.414 m,359.3505,,211416.132,550573.366,,,,,
77,127.1291987, E,37.5546179, N,0.4968 m,20.924 m,358.8334,,211416.126,550573.875,,,,,
78,127.1291986, E,37.55462237, N,0.523 m,21.421 m,357.4762,,211416.115,550574.372,,,,,
79,127.1291983, E,37.55462708, N,0.541 m,21.944 m,352.0457,,211416.091,550574.895,,,,,
80,127.1291975, E,37.55463191, N,0.558 m,22.485 m,352.2936,,211416.016,550575.43,,,,,
81,127.1291966, E,37.55463689, N,0.524 m,23.043 m,351.7816,,211415.94,550575.983,,,,,
82,127.1291958, E,37.55464156, N,0.571 m,23.567 m,344.4908,,211415.865,550576.501,,,,,
83,127.129194, E,37.55464651, N,0.531 m,24.137 m,350.9609,,211415.711,550577.051,,,,,
84,127.1291931, E,37.55465124, N,0.558 m,24.669 m,347.3335,,211415.627,550577.576,,,,,
85,127.1291917, E,37.55465615, N,0.585 m,25.227 m,340.3396,,211415.504,550578.12,,,,,
86,127.1291895, E,37.55466111, N,0.566 m,25.812 m,341.7475,,211415.306,550578.671,,,,,
87,127.1291875, E,37.55466596, N,0.585 m,26.378 m,338.6311,,211415.128,550579.208,,,,,
88,127.1291851, E,37.55467086, N,0.585 m,26.963 m,334.5382,,211414.914,550579.753,,,,,
89,127.1291822, E,37.55467562, N,0.551 m,27.548 m,335.7897,,211414.662,550580.281,,,,,
90,127.1291797, E,37.55468015, N,0.549 m,28.099 m,334.9257,,211414.435,550580.783,,,,,
91,127.129177, E,37.55468463, N,0.567 m,28.648 m,331.1725,,211414.202,550581.28,,,,,
92,127.1291739, E,37.55468911, N,0.598 m,29.216 m,327.7664,,211413.928,550581.776,,,,,
93,127.1291703, E,37.55469367, N,0.571 m,29.813 m,329.6353,,211413.608,550582.282,,,,,
94,127.129167, E,37.55469811, N,0.592 m,30.385 m,327.1426,,211413.319,550582.774,,,,,
95,127.1291634, E,37.55470259, N,0.57 m,30.976 m,323.5565,,211412.997,550583.271,,,,,
96,127.1291596, E,37.55470672, N,0.587 m,31.546 m,322.703,,211412.658,550583.729,,,,,
97,127.1291556, E,37.55471092, N,0.584 m,32.133 m,319.7305,,211412.302,550584.195,,,,,
98,127.1291513, E,37.55471494, N,0.601 m,32.717 m,318.4282,,211411.924,550584.64,,,,,
