Idx,Longitude,,Latitude,,Length,Total Length,Heading,,X (View Proj),Y (View Proj),,,차량종류,색상,Label
1,127.1291031, E,37.55430552, N,0.548 m,---,12.4177,,211407.729,550539.193,,,car,은색, 2-1
2,127.1291044, E,37.55431034, N,0.61 m,0.548 m,18.1824,,211407.846,550539.729,,,,,
3,127.1291066, E,37.55431557, N,0.547 m,1.158 m,16.666,,211408.036,550540.309,,,,,
4,127.1291084, E,37.55432029, N,0.536 m,1.705 m,17.0061,,211408.192,550540.833,,,,,
5,127.1291102, E,37.55432491, N,0.53 m,2.242 m,14.6995,,211408.348,550541.346,,,,,
6,127.1291117, E,37.55432953, N,0.536 m,2.772 m,17.0061,,211408.482,550541.86,,,,,
7,127.1291134, E,37.55433415, N,0.553 m,3.309 m,12.2714,,211408.638,550542.373,,,,,
8,127.1291148, E,37.55433902, N,0.555 m,3.862 m,19.1512,,211408.755,550542.914,,,,,
9,127.1291168, E,37.55434375, N,0.538 m,4.417 m,17.5744,,211408.937,550543.438,,,,,
10,127.1291187, E,37.55434837, N,0.547 m,4.955 m,14.5398,,211409.098,550543.951,,,,,
11,127.1291202, E,37.55435314, N,0.532 m,5.502 m,12.803,,211409.235,550544.481,,,,,
12,127.1291216, E,37.55435781, N,0.564 m,6.034 m,18.5136,,211409.352,550545,,,,,
13,127.1291236, E,37.55436263, N,0.549 m,6.598 m,19.3412,,211409.531,550545.535,,,,,
14,127.1291257, E,37.55436731, N,0.581 m,7.148 m,16.2508,,211409.712,550546.054,,,,,
15,127.1291275, E,37.55437233, N,0.52 m,7.728 m,15.0101,,211409.874,550546.612,,,,,
16,127.129129, E,37.55437685, N,0.562 m,8.248 m,17.7041,,211410.008,550547.114,,,,,
17,127.129131, E,37.55438167, N,0.533 m,8.81 m,13.3878,,211410.178,550547.649,,,,,
18,127.1291323, E,37.55438635, N,0.545 m,9.343 m,19.8113,,211410.3,550548.168,,,,,
19,127.1291344, E,37.55439097, N,0.532 m,9.888 m,15.2811,,211410.484,550548.681,,,,,
20,127.129136, E,37.55439559, N,0.534 m,10.42 m,18.0401,,211410.624,550549.194,,,,,
21,127.1291379, E,37.55440016, N,0.514 m,10.953 m,17.4327,,211410.788,550549.702,,,,,
22,127.1291396, E,37.55440458, N,0.543 m,11.468 m,17.3976,,211410.942,550550.193,,,,,
23,127.1291415, E,37.55440925, N,0.516 m,12.011 m,17.0521,,211411.104,550550.711,,,,,
24,127.1291432, E,37.5544137, N,0.525 m,12.527 m,17.4018,,211411.254,550551.205,,,,,
25,127.129145, E,37.55441821, N,0.519 m,13.052 m,17.929,,211411.411,550551.706,,,,,
26,127.1291468, E,37.55442266, N,0.521 m,13.571 m,18.8044,,211411.57,550552.2,,,,,
27,127.1291487, E,37.55442711, N,0.517 m,14.092 m,14.1149,,211411.737,550552.694,,,,,
28,127.1291501, E,37.55443163, N,0.522 m,14.61 m,15.8978,,211411.862,550553.196,,,,,
29,127.1291517, E,37.55443615, N,0.507 m,15.131 m,16.8685,,211412.005,550553.698,,,,,
30,127.1291534, E,37.55444052, N,0.477 m,15.638 m,15.3338,,211412.151,550554.183,,,,,
31,127.1291548, E,37.55444466, N,0.4792 m,16.115 m,16.2988,,211412.277,550554.643,,,,,
32,127.1291563, E,37.55444881, N,0.506 m,16.594 m,16.4147,,211412.41,550555.103,,,,,
33,127.129158, E,37.55445318, N,0.513 m,17.1 m,15.7029,,211412.553,550555.589,,,,,
34,127.1291595, E,37.55445762, N,0.509 m,17.613 m,14.3432,,211412.691,550556.082,,,,,
35,127.129161, E,37.55446207, N,0.501 m,18.122 m,14.5788,,211412.816,550556.576,,,,,
36,127.1291624, E,37.55446644, N,0.542 m,18.623 m,13.4712,,211412.942,550557.061,,,,,
37,127.1291638, E,37.55447119, N,0.587 m,19.165 m,14.5107,,211413.067,550557.588,,,,,
38,127.1291655, E,37.55447631, N,0.528 m,19.753 m,14.776,,211413.214,550558.157,,,,,
39,127.129167, E,37.55448091, N,0.562 m,20.28 m,14.7354,,211413.348,550558.667,,,,,
40,127.1291686, E,37.55448581, N,0.555 m,20.842 m,15.3717,,211413.49,550559.211,,,,,
41,127.1291703, E,37.55449063, N,0.579 m,21.397 m,13.2334,,211413.636,550559.747,,,,,
42,127.1291718, E,37.55449571, N,0.574 m,21.977 m,12.698,,211413.768,550560.311,,,,,
43,127.1291732, E,37.55450076, N,0.581 m,22.551 m,11.7123,,211413.893,550560.871,,,,,
44,127.1291745, E,37.55450588, N,0.593 m,23.132 m,13.1339,,211414.011,550561.44,,,,,
45,127.1291761, E,37.55451108, N,0.631 m,23.724 m,11.1651,,211414.144,550562.018,,,,,
46,127.1291775, E,37.55451666, N,0.607 m,24.355 m,12.008,,211414.266,550562.637,,,,,
47,127.1291789, E,37.55452201, N,0.587 m,24.963 m,10.7485,,211414.391,550563.231,,,,,
48,127.1291801, E,37.55452721, N,0.645 m,25.55 m,9.7853,,211414.5,550563.808,,,,,
49,127.1291814, E,37.55453294, N,0.624 m,26.195 m,7.3942,,211414.609,550564.444,,,,,
50,127.1291823, E,37.55453851, N,0.614 m,26.819 m,11.0822,,211414.688,550565.063,,,,,
51,127.1291836, E,37.55454394, N,0.638 m,27.433 m,10.6522,,211414.805,550565.665,,,,,
52,127.1291849, E,37.55454959, N,0.647 m,28.071 m,10.8803,,211414.923,550566.293,,,,,
