Idx,Longitude,,Latitude,,Length,Total Length,Heading,,X (View Proj),Y (View Proj),,,차량종류,색상,Label
1,127.1291349, E,37.55440369, N,0.0641 m,---,16.4485,,211410.524,550550.094,,,car,주황색, 2-1
2,127.1291351, E,37.55440425, N,0.068 m,0.0641 m,12.3635,,211410.542,550550.155,,,,,
3,127.1291353, E,37.55440485, N,0.04544 m,0.1321 m,11.0411,,211410.557,550550.222,,,,,
4,127.1291354, E,37.55440525, N,0.04229 m,0.1776 m,14.3486,,211410.565,550550.266,,,,,
5,127.1291355, E,37.55440562, N,0.0933 m,0.2198 m,21.9773,,211410.576,550550.307,,,,,
6,127.1291359, E,37.5544064, N,0.1167 m,0.3132 m,21.6196,,211410.61,550550.394,,,,,
7,127.1291364, E,37.55440737, N,0.1103 m,0.4298 m,10.5161,,211410.653,550550.502,,,,,
8,127.1291366, E,37.55440835, N,0.1365 m,0.54 m,15.8594,,211410.673,550550.611,,,,,
9,127.129137, E,37.55440953, N,0.1379 m,0.677 m,27.1742,,211410.71,550550.742,,,,,
10,127.1291377, E,37.55441064, N,0.1518 m,0.815 m,19.8775,,211410.773,550550.865,,,,,
11,127.1291383, E,37.55441193, N,0.122 m,0.966 m,25.7438,,211410.825,550551.008,,,,,
12,127.1291389, E,37.55441292, N,0.1873 m,1.088 m,16.3503,,211410.877,550551.118,,,,,
13,127.1291395, E,37.55441453, N,0.164 m,1.276 m,19.9338,,211410.93,550551.297,,,,,
14,127.1291402, E,37.55441592, N,0.1477 m,1.44 m,16.937,,211410.986,550551.452,,,,,
15,127.1291406, E,37.5544172, N,0.1715 m,1.587 m,13.0733,,211411.028,550551.593,,,,,
16,127.1291411, E,37.5544187, N,0.1465 m,1.759 m,15.3338,,211411.067,550551.76,,,,,
17,127.1291415, E,37.55441997, N,0.1666 m,1.905 m,18.0478,,211411.106,550551.901,,,,,
18,127.1291421, E,37.5544214, N,0.183 m,2.072 m,20.6347,,211411.157,550552.06,,,,,
19,127.1291428, E,37.55442295, N,0.1901 m,2.255 m,22.5992,,211411.221,550552.231,,,,,
20,127.1291437, E,37.55442453, N,0.1418 m,2.445 m,14.9543,,211411.294,550552.407,,,,,
21,127.1291441, E,37.55442576, N,0.2365 m,2.587 m,12.1009,,211411.33,550552.544,,,,,
22,127.1291446, E,37.55442784, N,0.2284 m,2.823 m,23.2772,,211411.38,550552.775,,,,,
23,127.1291457, E,37.55442973, N,0.2061 m,3.052 m,20.7741,,211411.47,550552.985,,,,,
24,127.1291465, E,37.55443147, N,0.2328 m,3.258 m,12.8362,,211411.542,550553.178,,,,,
25,127.1291471, E,37.55443352, N,0.2723 m,3.491 m,19.3687,,211411.594,550553.405,,,,,
26,127.1291481, E,37.55443583, N,0.2305 m,3.763 m,10.0661,,211411.684,550553.662,,,,,
27,127.1291485, E,37.55443788, N,0.2854 m,3.993 m,16.2012,,211411.724,550553.889,,,,,
28,127.1291494, E,37.55444034, N,0.2705 m,4.279 m,11.0327,,211411.803,550554.163,,,,,
29,127.12915, E,37.55444274, N,0.275 m,4.549 m,18.2313,,211411.854,550554.429,,,,,
30,127.129151, E,37.55444509, N,0.2495 m,4.824 m,16.024,,211411.94,550554.69,,,,,
31,127.1291518, E,37.55444725, N,0.3144 m,5.074 m,19.995,,211412.009,550554.93,,,,,
32,127.129153, E,37.55444991, N,0.2235 m,5.388 m,12.2501,,211412.116,550555.226,,,,,
33,127.1291535, E,37.55445188, N,0.3307 m,5.612 m,10.1512,,211412.163,550555.444,,,,,
34,127.1291542, E,37.55445481, N,0.2545 m,5.942 m,16.4546,,211412.221,550555.77,,,,,
35,127.129155, E,37.55445701, N,0.2924 m,6.197 m,22.6985,,211412.292,550556.014,,,,,
36,127.1291563, E,37.55445944, N,0.359 m,6.489 m,17.4327,,211412.405,550556.284,,,,,
37,127.1291575, E,37.55446253, N,0.3266 m,6.848 m,16.8499,,211412.512,550556.626,,,,,
38,127.1291586, E,37.55446534, N,0.2937 m,7.175 m,18.9075,,211412.606,550556.939,,,,,
39,127.1291597, E,37.55446785, N,0.3685 m,7.469 m,15.3721,,211412.701,550557.217,,,,,
40,127.1291608, E,37.55447105, N,0.3629 m,7.837 m,11.6539,,211412.798,550557.573,,,,,
41,127.1291616, E,37.55447425, N,0.3419 m,8.2 m,15.3338,,211412.871,550557.928,,,,,
42,127.1291626, E,37.55447722, N,0.41 m,8.542 m,10.919,,211412.961,550558.258,,,,,
43,127.1291635, E,37.55448085, N,0.3647 m,8.952 m,12.9724,,211413.038,550558.661,,,,,
44,127.1291644, E,37.55448405, N,0.3922 m,9.317 m,13.6596,,211413.12,550559.016,,,,,
45,127.1291655, E,37.55448749, N,0.4206 m,9.709 m,18.7904,,211413.212,550559.397,,,,,
46,127.129167, E,37.55449107, N,0.399 m,10.129 m,19.1945,,211413.347,550559.796,,,,,
47,127.1291685, E,37.55449447, N,0.4411 m,10.528 m,11.2795,,211413.477,550560.173,,,,,
48,127.1291695, E,37.55449837, N,0.3855 m,10.969 m,14.887,,211413.563,550560.605,,,,,
49,127.1291706, E,37.55450172, N,0.4195 m,11.355 m,16.3857,,211413.661,550560.978,,,,,
50,127.1291719, E,37.55450535, N,0.3966 m,11.774 m,16.0666,,211413.779,550561.381,,,,,
51,127.1291732, E,37.55450878, N,0.4119 m,12.171 m,17.0062,,211413.888,550561.762,,,,,
52,127.1291745, E,37.55451233, N,0.436 m,12.583 m,15.7534,,211414.008,550562.156,,,,,
53,127.1291759, E,37.55451611, N,0.4255 m,13.019 m,14.9544,,211414.126,550562.576,,,,,
54,127.1291771, E,37.55451982, N,0.4419 m,13.444 m,11.8243,,211414.235,550562.987,,,,,
55,127.1291781, E,37.55452371, N,0.4302 m,13.886 m,15.0836,,211414.325,550563.42,,,,,
56,127.1291794, E,37.55452746, N,0.4331 m,14.317 m,11.7776,,211414.437,550563.835,,,,,
57,127.1291804, E,37.55453128, N,0.546 m,14.75 m,9.7748,,211414.525,550564.259,,,,,
58,127.1291815, E,37.55453613, N,0.4783 m,15.296 m,14.9052,,211414.617,550564.798,,,,,
59,127.1291828, E,37.55454029, N,0.4197 m,15.774 m,13.6647,,211414.739,550565.26,,,,,
60,127.129184, E,37.55454397, N,0.533 m,16.194 m,14.1149,,211414.838,550565.668,,,,,
61,127.1291854, E,37.55454862, N,0.515 m,16.727 m,12.2792,,211414.967,550566.185,,,,,
62,127.1291867, E,37.55455315, N,0.4964 m,17.241 m,13.5439,,211415.076,550566.688,,,,,
63,127.129188, E,37.5545575, N,0.549 m,17.738 m,11.8759,,211415.191,550567.171,,,,,
64,127.1291893, E,37.55456234, N,0.52 m,18.286 m,11.3886,,211415.303,550567.708,,,,,
65,127.1291904, E,37.55456693, N,0.556 m,18.807 m,12.0756,,211415.405,550568.218,,,,,
66,127.1291917, E,37.55457183, N,0.557 m,19.363 m,12.4178,,211415.521,550568.762,,,,,
67,127.1291931, E,37.55457673, N,0.553 m,19.919 m,5.9645,,211415.64,550569.306,,,,,
68,127.1291938, E,37.55458169, N,0.604 m,20.473 m,4.9227,,211415.697,550569.856,,,,,
69,127.1291943, E,37.55458711, N,0.633 m,21.076 m,2.8489,,211415.748,550570.458,,,,,
70,127.1291947, E,37.5545928, N,0.612 m,21.709 m,0.0786,,211415.778,550571.09,,,,,
71,127.1291947, E,37.55459832, N,0.684 m,22.321 m,357.515,,211415.778,550571.702,,,,,
72,127.1291944, E,37.55460447, N,0.644 m,23.005 m,355.9931,,211415.748,550572.385,,,,,
73,127.1291939, E,37.55461026, N,0.603 m,23.649 m,356.2002,,211415.702,550573.028,,,,,
74,127.1291934, E,37.55461569, N,0.688 m,24.253 m,353.2697,,211415.661,550573.629,,,,,
75,127.1291925, E,37.55462184, N,0.663 m,24.941 m,345.8288,,211415.579,550574.313,,,,,
76,127.1291907, E,37.55462763, N,0.646 m,25.604 m,354.1881,,211415.416,550574.955,,,,,
77,127.1291899, E,37.55463342, N,0.741 m,26.25 m,352.1716,,211415.35,550575.598,,,,,
78,127.1291888, E,37.55464004, N,0.673 m,26.991 m,346.0426,,211415.248,550576.332,,,,,
79,127.1291869, E,37.55464592, N,0.737 m,27.664 m,342.7721,,211415.085,550576.985,,,,,
80,127.1291845, E,37.55465227, N,0.71 m,28.401 m,344.2464,,211414.865,550577.688,,,,,
81,127.1291823, E,37.55465843, N,0.708 m,29.111 m,342.0354,,211414.672,550578.372,,,,,
82,127.1291798, E,37.55466449, N,0.746 m,29.819 m,338.4228,,211414.452,550579.045,,,,,
83,127.1291767, E,37.55467075, N,0.778 m,30.565 m,338.5562,,211414.177,550579.738,,,,,
