Idx,Longitude,,Latitude,,Length,Total Length,Heading,,X (View Proj),Y (View Proj),,,차량종류,색상,Label
1,127.1291767, E,37.55452295, N,0.04308 m,---,18.6226,,211414.201,550563.334,,,car,흰색, 2-1
2,127.1291769, E,37.55452331, N,0.0828 m,0.04308 m,16.9001,,211414.215,550563.375,,,,,
3,127.1291772, E,37.55452403, N,0.0594 m,0.1258 m,17.6282,,211414.239,550563.454,,,,,
4,127.1291774, E,37.55452454, N,0.0812 m,0.1853 m,16.8946,,211414.257,550563.511,,,,,
5,127.1291776, E,37.55452524, N,0.1111 m,0.2665 m,14.1149,,211414.28,550563.589,,,,,
6,127.1291779, E,37.55452621, N,0.1082 m,0.3775 m,20.2493,,211414.307,550563.697,,,,,
7,127.1291784, E,37.55452712, N,0.1455 m,0.4857 m,7.6559,,211414.345,550563.798,,,,,
8,127.1291786, E,37.55452842, N,0.1436 m,0.631 m,13.2127,,211414.364,550563.942,,,,,
9,127.129179, E,37.55452968, N,0.1563 m,0.775 m,17.4327,,211414.397,550564.082,,,,,
10,127.1291795, E,37.55453103, N,0.1674 m,0.931 m,12.9537,,211414.443,550564.232,,,,,
11,127.1291799, E,37.5545325, N,0.2127 m,1.099 m,15.3338,,211414.48,550564.395,,,,,
12,127.1291805, E,37.55453434, N,0.18 m,1.311 m,16.6357,,211414.536,550564.6,,,,,
13,127.1291811, E,37.5545359, N,0.2241 m,1.491 m,12.0902,,211414.588,550564.772,,,,,
14,127.1291817, E,37.55453787, N,0.2373 m,1.715 m,10.8367,,211414.634,550564.992,,,,,
15,127.1291822, E,37.55453997, N,0.2585 m,1.953 m,13.112,,211414.679,550565.225,,,,,
16,127.1291828, E,37.55454224, N,0.2929 m,2.211 m,13.8937,,211414.737,550565.477,,,,,
17,127.1291836, E,37.5545448, N,0.2761 m,2.504 m,15.7582,,211414.807,550565.761,,,,,
18,127.1291845, E,37.5545472, N,0.2857 m,2.78 m,15.7029,,211414.881,550566.027,,,,,
19,127.1291853, E,37.55454967, N,0.3466 m,3.066 m,17.2947,,211414.958,550566.302,,,,,
20,127.1291865, E,37.55455266, N,0.3557 m,3.412 m,14.1149,,211415.061,550566.633,,,,,
21,127.1291875, E,37.55455576, N,0.3203 m,3.768 m,16.1387,,211415.147,550566.978,,,,,
22,127.1291885, E,37.55455854, N,0.3864 m,4.088 m,12.27,,211415.236,550567.286,,,,,
23,127.1291894, E,37.55456194, N,0.382 m,4.475 m,11.8713,,211415.317,550567.664,,,,,
24,127.1291903, E,37.55456531, N,0.445 m,4.857 m,10.0345,,211415.396,550568.038,,,,,
25,127.1291912, E,37.55456926, N,0.3768 m,5.302 m,12.223,,211415.473,550568.476,,,,,
26,127.1291921, E,37.55457257, N,0.4221 m,5.679 m,16.111,,211415.552,550568.844,,,,,
27,127.1291934, E,37.55457623, N,0.4654 m,6.101 m,13.6972,,211415.668,550569.25,,,,,
28,127.1291947, E,37.5545803, N,0.439 m,6.566 m,12.3435,,211415.778,550569.702,,,,,
29,127.1291957, E,37.55458417, N,0.4688 m,7.005 m,10.1032,,211415.871,550570.131,,,,,
30,127.1291967, E,37.55458832, N,0.5 m,7.474 m,8.9264,,211415.953,550570.593,,,,,
31,127.1291975, E,37.55459278, N,0.489 m,7.974 m,7.4748,,211416.03,550571.087,,,,,
32,127.1291983, E,37.55459714, N,0.4872 m,8.463 m,9.7213,,211416.093,550571.572,,,,,
33,127.1291992, E,37.55460147, N,0.506 m,8.95 m,5.8943,,211416.174,550572.052,,,,,
34,127.1291998, E,37.55460601, N,0.528 m,9.457 m,8.4593,,211416.226,550572.556,,,,,
35,127.1292007, E,37.55461071, N,0.566 m,9.985 m,3.1494,,211416.303,550573.078,,,,,
36,127.129201, E,37.5546158, N,0.547 m,10.55 m,4.4774,,211416.333,550573.643,,,,,
37,127.1292015, E,37.55462072, N,0.56 m,11.098 m,357.2164,,211416.375,550574.189,,,,,
38,127.1292012, E,37.55462576, N,0.553 m,11.658 m,358.2662,,211416.347,550574.748,,,,,
39,127.129201, E,37.55463074, N,0.518 m,12.211 m,0.0786,,211416.329,550575.301,,,,,
40,127.129201, E,37.5546354, N,0.553 m,12.728 m,358.3961,,211416.329,550575.819,,,,,
41,127.1292008, E,37.55464038, N,0.581 m,13.281 m,354.0938,,211416.313,550576.371,,,,,
42,127.1292002, E,37.55464559, N,0.527 m,13.863 m,354.7466,,211416.252,550576.95,,,,,
43,127.1291996, E,37.55465032, N,0.549 m,14.39 m,353.4968,,211416.204,550577.474,,,,,
