Idx,Longitude,,Latitude,,Length,Total Length,Heading,,X (View Proj),Y (View Proj),,,차량종류,색상,Label
1,127.1292076, E,37.55451599, N,0.04135 m,---,13.8782,,211416.931,550562.566,,,car,흰색, 2-3
2,127.1292077, E,37.55451636, N,0.03758 m,0.04135 m,12.2624,,211416.941,550562.607,,,,,
3,127.1292078, E,37.55451669, N,0.04427 m,0.0789 m,15.9499,,211416.949,550562.643,,,,,
4,127.1292079, E,37.55451707, N,0.03865 m,0.1232 m,9.868,,211416.961,550562.686,,,,,
5,127.129208, E,37.55451741, N,0.04398 m,0.1619 m,20.0618,,211416.967,550562.724,,,,,
6,127.1292082, E,37.55451779, N,0.04361 m,0.2058 m,15.9111,,211416.982,550562.765,,,,,
7,127.1292083, E,37.55451816, N,0.04496 m,0.2494 m,12.9537,,211416.994,550562.807,,,,,
8,127.1292084, E,37.55451856, N,0.1271 m,0.2944 m,13.4647,,211417.004,550562.851,,,,,
9,127.1292088, E,37.55451967, N,0.1279 m,0.4215 m,18.7133,,211417.034,550562.975,,,,,
10,127.1292092, E,37.55452076, N,0.1661 m,0.549 m,14.8223,,211417.074,550563.096,,,,,
11,127.1292097, E,37.55452221, N,0.2143 m,0.716 m,14.9373,,211417.117,550563.257,,,,,
12,127.1292103, E,37.55452408, N,0.2113 m,0.93 m,16.3389,,211417.172,550563.464,,,,,
13,127.129211, E,37.5545259, N,0.2619 m,1.141 m,14.5634,,211417.231,550563.667,,,,,
14,127.1292118, E,37.55452819, N,0.2553 m,1.403 m,19.4135,,211417.296,550563.92,,,,,
15,127.1292127, E,37.55453036, N,0.3074 m,1.658 m,18.5136,,211417.381,550564.161,,,,,
16,127.1292138, E,37.55453298, N,0.254 m,1.966 m,18.5136,,211417.478,550564.453,,,,,
17,127.1292147, E,37.55453515, N,0.3515 m,2.22 m,18.2958,,211417.558,550564.694,,,,,
18,127.129216, E,37.55453816, N,0.3442 m,2.571 m,19.0699,,211417.668,550565.028,,,,,
19,127.1292173, E,37.55454109, N,0.345 m,2.916 m,17.1814,,211417.78,550565.353,,,,,
20,127.1292184, E,37.55454406, N,0.3437 m,3.26 m,16.508,,211417.882,550565.683,,,,,
21,127.1292195, E,37.55454703, N,0.3377 m,3.604 m,20.215,,211417.979,550566.013,,,,,
22,127.1292208, E,37.55454988, N,0.3919 m,3.942 m,16.3636,,211418.095,550566.33,,,,,
23,127.1292221, E,37.55455327, N,0.4332 m,4.334 m,17.0992,,211418.205,550566.706,,,,,
24,127.1292235, E,37.554557, N,0.3796 m,4.767 m,18.9171,,211418.332,550567.12,,,,,
25,127.1292249, E,37.55456024, N,0.4217 m,5.147 m,17.8781,,211418.455,550567.479,,,,,
26,127.1292264, E,37.55456386, N,0.4345 m,5.568 m,17.6322,,211418.583,550567.881,,,,,
27,127.1292279, E,37.55456759, N,0.4403 m,6.003 m,21.4716,,211418.714,550568.295,,,,,
28,127.1292297, E,37.55457128, N,0.4585 m,6.443 m,18.3466,,211418.875,550568.705,,,,,
29,127.1292313, E,37.5545752, N,0.4366 m,6.902 m,16.6717,,211419.019,550569.14,,,,,
30,127.1292328, E,37.55457897, N,0.4693 m,7.338 m,17.3711,,211419.144,550569.559,,,,,
31,127.1292343, E,37.554583, N,0.4773 m,7.808 m,17.0695,,211419.283,550570.007,,,,,
32,127.1292359, E,37.55458711, N,0.4645 m,8.285 m,18.9258,,211419.422,550570.464,,,,,
33,127.1292376, E,37.55459107, N,0.4709 m,8.749 m,16.236,,211419.573,550570.903,,,,,
34,127.1292391, E,37.55459515, N,0.4693 m,9.22 m,17.3712,,211419.704,550571.355,,,,,
35,127.1292407, E,37.55459918, N,0.472 m,9.69 m,19.9741,,211419.843,550571.803,,,,,
36,127.1292425, E,37.55460318, N,0.486 m,10.162 m,17.0166,,211420.004,550572.247,,,,,
37,127.1292441, E,37.55460737, N,0.4799 m,10.648 m,18.0349,,211420.145,550572.712,,,,,
38,127.1292458, E,37.55461148, N,0.4638 m,11.127 m,14.8377,,211420.293,550573.169,,,,,
39,127.1292472, E,37.55461552, N,0.4732 m,11.591 m,18.0281,,211420.411,550573.617,,,,,
40,127.1292488, E,37.55461957, N,0.4932 m,12.064 m,18.0478,,211420.557,550574.067,,,,,
41,127.1292506, E,37.5546238, N,0.4935 m,12.558 m,20.3763,,211420.709,550574.537,,,,,
42,127.1292525, E,37.55462796, N,0.4602 m,13.051 m,18.1392,,211420.881,550574.999,,,,,
43,127.1292541, E,37.5546319, N,0.548 m,13.511 m,20.4018,,211421.023,550575.437,,,,,
44,127.1292563, E,37.55463653, N,0.54 m,14.059 m,20.0043,,211421.213,550575.95,,,,,
45,127.1292584, E,37.5546411, N,0.539 m,14.598 m,17.8747,,211421.397,550576.458,,,,,
46,127.1292602, E,37.55464572, N,0.531 m,15.138 m,17.4327,,211421.562,550576.971,,,,,
47,127.129262, E,37.55465029, N,0.535 m,15.669 m,18.7282,,211421.721,550577.478,,,,,
48,127.129264, E,37.55465486, N,0.508 m,16.205 m,16.0241,,211421.892,550577.986,,,,,
49,127.1292656, E,37.55465926, N,0.546 m,16.712 m,18.6146,,211422.031,550578.474,,,,,
50,127.1292676, E,37.55466392, N,0.545 m,17.258 m,19.7773,,211422.205,550578.991,,,,,
51,127.1292696, E,37.55466854, N,0.559 m,17.804 m,18.9244,,211422.389,550579.505,,,,,
52,127.1292717, E,37.55467331, N,0.545 m,18.363 m,16.2989,,211422.569,550580.034,,,,,
53,127.1292734, E,37.55467802, N,0.541 m,18.908 m,18.5137,,211422.722,550580.557,,,,,
54,127.1292754, E,37.55468264, N,0.584 m,19.449 m,16.1523,,211422.893,550581.071,,,,,
55,127.1292772, E,37.5546877, N,0.571 m,20.033 m,18.5137,,211423.054,550581.632,,,,,
56,127.1292793, E,37.55469258, N,0.55 m,20.604 m,18.2006,,211423.235,550582.174,,,,,
57,127.1292812, E,37.55469729, N,0.561 m,21.155 m,14.8223,,211423.406,550582.697,,,,,
58,127.1292828, E,37.55470217, N,0.575 m,21.715 m,19.4135,,211423.549,550583.239,,,,,
59,127.129285, E,37.55470706, N,0.528 m,22.29 m,13.6146,,211423.739,550583.781,,,,,
60,127.1292864, E,37.55471168, N,0.601 m,22.818 m,18.5137,,211423.863,550584.295,,,,,
61,127.1292886, E,37.55471682, N,0.577 m,23.42 m,13.4275,,211424.053,550584.866,,,,,
62,127.1292901, E,37.55472187, N,0.589 m,23.996 m,17.929,,211424.186,550585.427,,,,,
63,127.1292921, E,37.55472693, N,0.562 m,24.586 m,18.8201,,211424.367,550585.988,,,,,
