Idx,Longitude,,Latitude,,Length,Total Length,Heading,,X (View Proj),Y (View Proj),,,차량종류,색상,Label
1,127.1291546, E,37.55446857, N,0.04842 m,---,13.4409,,211412.255,550557.297,,,car,흰색, 2-1
2,127.1291547, E,37.554469, N,0.04095 m,0.04842 m,12.1974,,211412.266,550557.344,,,,,
3,127.1291548, E,37.55446936, N,0.03254 m,0.0894 m,18.1034,,211412.275,550557.384,,,,,
4,127.129155, E,37.55446964, N,0.04125 m,0.1219 m,17.7583,,211412.285,550557.415,,,,,
5,127.1291551, E,37.55446999, N,0.0515 m,0.1632 m,16.2351,,211412.297,550557.454,,,,,
6,127.1291553, E,37.55447044, N,0.04194 m,0.2147 m,18.5136,,211412.312,550557.504,,,,,
7,127.1291554, E,37.55447079, N,0.02986 m,0.2566 m,15.8298,,211412.325,550557.543,,,,,
8,127.1291555, E,37.55447105, N,0.04004 m,0.2865 m,12.8362,,211412.333,550557.572,,,,,
9,127.1291556, E,37.5544714, N,0.0558 m,0.3265 m,21.1919,,211412.342,550557.611,,,,,
10,127.1291558, E,37.55447187, N,0.03881 m,0.3823 m,20.0617,,211412.362,550557.663,,,,,
11,127.129156, E,37.5544722, N,0.04449 m,0.4211 m,26.6437,,211412.375,550557.7,,,,,
12,127.1291562, E,37.55447256, N,0.069 m,0.4656 m,24.1809,,211412.395,550557.74,,,,,
13,127.1291565, E,37.55447313, N,0.0623 m,0.535 m,28.6891,,211412.423,550557.803,,,,,
14,127.1291569, E,37.55447362, N,0.0647 m,0.597 m,22.6985,,211412.453,550557.857,,,,,
15,127.1291571, E,37.55447416, N,0.1031 m,0.662 m,25.8193,,211412.478,550557.917,,,,,
16,127.1291577, E,37.55447499, N,0.0809 m,0.765 m,17.6779,,211412.523,550558.01,,,,,
17,127.1291579, E,37.55447569, N,0.1313 m,0.846 m,24.7022,,211412.547,550558.087,,,,,
18,127.1291586, E,37.55447676, N,0.1239 m,0.977 m,10.4864,,211412.602,550558.206,,,,,
19,127.1291588, E,37.55447786, N,0.1134 m,1.101 m,15.3338,,211412.624,550558.328,,,,,
20,127.1291591, E,37.55447885, N,0.1689 m,1.214 m,13.7057,,211412.654,550558.438,,,,,
21,127.1291596, E,37.55448032, N,0.164 m,1.383 m,15.3004,,211412.694,550558.602,,,,,
22,127.1291601, E,37.55448175, N,0.1725 m,1.547 m,13.4138,,211412.737,550558.76,,,,,
23,127.1291605, E,37.55448326, N,0.1961 m,1.72 m,15.525,,211412.777,550558.928,,,,,
24,127.1291611, E,37.55448496, N,0.1864 m,1.916 m,18.7553,,211412.829,550559.117,,,,,
25,127.1291618, E,37.55448655, N,0.2105 m,2.102 m,14.4432,,211412.889,550559.293,,,,,
26,127.1291624, E,37.55448839, N,0.2477 m,2.313 m,15.5104,,211412.941,550559.497,,,,,
27,127.1291632, E,37.55449054, N,0.2565 m,2.56 m,16.4055,,211413.007,550559.736,,,,,
28,127.129164, E,37.55449276, N,0.2491 m,2.817 m,14.5311,,211413.079,550559.982,,,,,
29,127.1291647, E,37.55449493, N,0.2852 m,3.066 m,14.1149,,211413.141,550560.223,,,,,
30,127.1291655, E,37.55449742, N,0.301 m,3.351 m,12.9669,,211413.21,550560.5,,,,,
31,127.1291662, E,37.55450006, N,0.2907 m,3.652 m,14.9469,,211413.278,550560.794,,,,,
32,127.1291671, E,37.5545026, N,0.3406 m,3.943 m,15.5356,,211413.352,550561.075,,,,,
33,127.1291681, E,37.55450555, N,0.3002 m,4.283 m,21.9682,,211413.443,550561.403,,,,,
34,127.1291694, E,37.55450806, N,0.3402 m,4.584 m,11.6761,,211413.555,550561.681,,,,,
35,127.1291702, E,37.55451106, N,0.3385 m,4.924 m,15.8506,,211413.623,550562.015,,,,,
36,127.1291712, E,37.554514, N,0.3399 m,5.262 m,15.1316,,211413.715,550562.34,,,,,
37,127.1291722, E,37.55451695, N,0.3655 m,5.602 m,9.4769,,211413.803,550562.669,,,,,
38,127.1291729, E,37.5545202, N,0.3484 m,5.968 m,15.6028,,211413.863,550563.029,,,,,
39,127.129174, E,37.55452322, N,0.383 m,6.316 m,13.2127,,211413.956,550563.365,,,,,
40,127.129175, E,37.55452658, N,0.3809 m,6.699 m,13.4798,,211414.043,550563.738,,,,,
41,127.129176, E,37.55452992, N,0.3824 m,7.08 m,10.9501,,211414.132,550564.108,,,,,
42,127.1291768, E,37.5545333, N,0.4319 m,7.462 m,11.8739,,211414.204,550564.484,,,,,
43,127.1291778, E,37.55453711, N,0.4338 m,7.894 m,4.2681,,211414.292,550564.907,,,,,
44,127.1291781, E,37.55454101, N,0.4301 m,8.328 m,5.6781,,211414.324,550565.339,,,,,
45,127.1291786, E,37.55454487, N,0.4206 m,8.758 m,12.1734,,211414.366,550565.767,,,,,
46,127.1291796, E,37.55454857, N,0.4516 m,9.179 m,11.8759,,211414.454,550566.179,,,,,
47,127.1291807, E,37.55455255, N,0.4875 m,9.63 m,9.3248,,211414.546,550566.621,,,,,
48,127.1291816, E,37.55455689, N,0.4774 m,10.118 m,10.2034,,211414.625,550567.102,,,,,
49,127.1291825, E,37.55456112, N,0.512 m,10.595 m,10.4676,,211414.709,550567.572,,,,,
50,127.1291836, E,37.55456566, N,0.4922 m,11.107 m,8.5773,,211414.801,550568.076,,,,,
51,127.1291844, E,37.55457004, N,0.4955 m,11.6 m,10.8176,,211414.874,550568.562,,,,,
52,127.1291855, E,37.55457443, N,0.53 m,12.095 m,7.0536,,211414.966,550569.049,,,,,
53,127.1291862, E,37.55457916, N,0.511 m,12.625 m,4.4774,,211415.03,550569.575,,,,,
54,127.1291867, E,37.55458375, N,0.561 m,13.136 m,8.977,,211415.069,550570.084,,,,,
55,127.1291877, E,37.55458874, N,0.553 m,13.696 m,11.1613,,211415.156,550570.638,,,,,
56,127.1291889, E,37.55459363, N,0.56 m,14.249 m,2.6553,,211415.262,550571.181,,,,,
57,127.1291892, E,37.55459867, N,0.58 m,14.809 m,10.0867,,211415.288,550571.74,,,,,
58,127.1291903, E,37.55460381, N,0.588 m,15.389 m,1.17,,211415.388,550572.311,,,,,
59,127.1291904, E,37.55460911, N,0.64 m,15.977 m,355.8146,,211415.4,550572.899,,,,,
60,127.1291899, E,37.55461485, N,0.609 m,16.616 m,0.1984,,211415.352,550573.537,,,,,
61,127.1291899, E,37.55462034, N,0.663 m,17.225 m,359.3535,,211415.353,550574.145,,,,,
62,127.1291899, E,37.55462631, N,0.655 m,17.888 m,358.6099,,211415.345,550574.808,,,,,
63,127.1291897, E,37.55463221, N,0.663 m,18.543 m,358.6285,,211415.328,550575.463,,,,,
64,127.1291895, E,37.55463818, N,0.616 m,19.206 m,354.6014,,211415.311,550576.126,,,,,
65,127.1291888, E,37.55464371, N,0.689 m,19.822 m,350.6165,,211415.253,550576.739,,,,,
66,127.1291876, E,37.55464983, N,0.696 m,20.511 m,347.55,,211415.139,550577.419,,,,,
67,127.1291859, E,37.55465596, N,0.647 m,21.207 m,350.3721,,211414.988,550578.098,,,,,
68,127.1291846, E,37.55466171, N,0.682 m,21.854 m,346.5556,,211414.879,550578.736,,,,,
69,127.1291828, E,37.55466768, N,0.713 m,22.536 m,342.604,,211414.72,550579.399,,,,,
70,127.1291804, E,37.55467381, N,0.717 m,23.249 m,343.765,,211414.506,550580.079,,,,,
71,127.1291782, E,37.55468002, N,0.711 m,23.966 m,337.1467,,211414.304,550580.767,,,,,
72,127.129175, E,37.55468592, N,0.7 m,24.677 m,339.3619,,211414.027,550581.422,,,,,
73,127.1291722, E,37.55469182, N,0.714 m,25.377 m,330.501,,211413.78,550582.077,,,,,
74,127.1291683, E,37.55469742, N,0.721 m,26.091 m,330.83,,211413.427,550582.698,,,,,
75,127.1291643, E,37.55470309, N,0.762 m,26.813 m,333.2315,,211413.075,550583.327,,,,,
76,127.1291604, E,37.55470922, N,0.71 m,27.574 m,328.3605,,211412.73,550584.007,,,,,
77,127.1291562, E,37.55471467, N,0.723 m,28.285 m,323.5665,,211412.357,550584.611,,,,,
78,127.1291513, E,37.55471991, N,0.726 m,29.008 m,319.7647,,211411.927,550585.192,,,,,
79,127.129146, E,37.55472491, N,0.705 m,29.734 m,325.2543,,211411.457,550585.746,,,,,
80,127.1291415, E,37.55473013, N,0.719 m,30.44 m,318.3898,,211411.054,550586.325,,,,,
81,127.1291361, E,37.55473498, N,0.727 m,31.159 m,316.7154,,211410.576,550586.863,,,,,
82,127.1291304, E,37.55473975, N,0.777 m,31.886 m,314.6415,,211410.076,550587.391,,,,,
83,127.1291242, E,37.55474467, N,0.705 m,32.664 m,321.845,,211409.522,550587.937,,,,,
84,127.1291192, E,37.55474967, N,0.794 m,33.369 m,308.6441,,211409.086,550588.491,,,,,
