Idx,Longitude,,Latitude,,Length,Total Length,Heading,,X (View Proj),Y (View Proj),,,차량종류,색상,Label
1,127.1291243, E,37.55437783, N,0.0443 m,---,22.6985,,211409.594,550547.222,,,car,검정색, 2-1
2,127.1291245, E,37.5543782, N,0.04293 m,0.0443 m,25.9656,,211409.611,550547.263,,,,,
3,127.1291247, E,37.55437855, N,0.01721 m,0.0872 m,26.3618,,211409.63,550547.301,,,,,
4,127.1291248, E,37.55437868, N,0.01592 m,0.1044 m,25.4248,,211409.637,550547.317,,,,,
5,127.1291249, E,37.55437881, N,0.01491 m,0.1204 m,29.8987,,211409.644,550547.331,,,,,
6,127.129125, E,37.55437893, N,0.04163 m,0.1353 m,22.9123,,211409.651,550547.344,,,,,
7,127.1291252, E,37.55437928, N,0.04516 m,0.1769 m,23.0905,,211409.668,550547.382,,,,,
8,127.1291254, E,37.55437965, N,0.04368 m,0.2221 m,20.6347,,211409.685,550547.424,,,,,
9,127.1291255, E,37.55438002, N,0.0855 m,0.2657 m,12.4836,,211409.701,550547.465,,,,,
10,127.1291258, E,37.55438077, N,0.0958 m,0.3512 m,5.1808,,211409.719,550547.548,,,,,
11,127.1291259, E,37.55438163, N,0.086 m,0.447 m,7.7671,,211409.728,550547.644,,,,,
12,127.129126, E,37.5543824, N,0.0943 m,0.533 m,12.6075,,211409.739,550547.729,,,,,
13,127.1291262, E,37.55438323, N,0.1724 m,0.627 m,12.0548,,211409.759,550547.821,,,,,
14,127.1291266, E,37.55438475, N,0.1829 m,0.8 m,15.4742,,211409.795,550547.99,,,,,
15,127.1291272, E,37.55438633, N,0.2127 m,0.983 m,20.4735,,211409.844,550548.166,,,,,
16,127.129128, E,37.55438813, N,0.2236 m,1.195 m,16.3388,,211409.918,550548.365,,,,,
17,127.1291287, E,37.55439006, N,0.2307 m,1.419 m,21.5264,,211409.981,550548.58,,,,,
18,127.1291297, E,37.554392, N,0.2588 m,1.65 m,20.3035,,211410.065,550548.795,,,,,
19,127.1291307, E,37.55439418, N,0.3104 m,1.908 m,17.3201,,211410.154,550549.038,,,,,
20,127.1291318, E,37.55439685, N,0.3076 m,2.219 m,15.5008,,211410.246,550549.334,,,,,
21,127.1291327, E,37.55439952, N,0.3031 m,2.526 m,14.2321,,211410.328,550549.631,,,,,
22,127.1291335, E,37.55440217, N,0.35 m,2.83 m,18.3813,,211410.402,550549.925,,,,,
23,127.1291348, E,37.55440516, N,0.412 m,3.18 m,13.0363,,211410.512,550550.257,,,,,
24,127.1291358, E,37.55440878, N,0.4183 m,3.592 m,19.3439,,211410.605,550550.658,,,,,
25,127.1291374, E,37.55441234, N,0.3832 m,4.01 m,19.9638,,211410.743,550551.053,,,,,
26,127.1291389, E,37.55441558, N,0.3859 m,4.393 m,13.2866,,211410.873,550551.414,,,,,
27,127.1291399, E,37.55441897, N,0.4029 m,4.779 m,16.0989,,211410.961,550551.789,,,,,
28,127.1291411, E,37.55442245, N,0.4328 m,5.182 m,18.6741,,211411.072,550552.177,,,,,
29,127.1291427, E,37.55442615, N,0.4529 m,5.615 m,15.2912,,211411.21,550552.587,,,,,
30,127.1291441, E,37.55443008, N,0.4779 m,6.068 m,14.0034,,211411.329,550553.024,,,,,
31,127.1291454, E,37.55443426, N,0.4365 m,6.546 m,18.5136,,211411.444,550553.488,,,,,
32,127.1291469, E,37.55443799, N,0.4224 m,6.982 m,15.8812,,211411.582,550553.902,,,,,
33,127.1291483, E,37.55444165, N,0.4437 m,7.404 m,12.5538,,211411.697,550554.308,,,,,
34,127.1291493, E,37.55444555, N,0.4492 m,7.848 m,13.4032,,211411.793,550554.741,,,,,
35,127.1291505, E,37.55444949, N,0.536 m,8.297 m,16.6994,,211411.897,550555.179,,,,,
36,127.1291523, E,37.55445412, N,0.561 m,8.833 m,24.717,,211412.05,550555.692,,,,,
37,127.1291549, E,37.55445871, N,0.546 m,9.394 m,18.5136,,211412.284,550556.202,,,,,
38,127.1291569, E,37.55446337, N,0.575 m,9.94 m,11.6133,,211412.456,550556.72,,,,,
39,127.1291582, E,37.55446845, N,0.553 m,10.515 m,15.7515,,211412.571,550557.283,,,,,
40,127.1291599, E,37.55447325, N,0.608 m,11.069 m,13.9397,,211412.721,550557.816,,,,,
41,127.1291615, E,37.55447856, N,0.567 m,11.677 m,14.5555,,211412.867,550558.407,,,,,
42,127.1291632, E,37.55448351, N,0.602 m,12.244 m,14.4141,,211413.008,550558.956,,,,,
43,127.1291649, E,37.55448877, N,0.502 m,12.847 m,11.2436,,211413.158,550559.54,,,,,
44,127.129166, E,37.55449321, N,0.583 m,13.349 m,11.6388,,211413.255,550560.033,,,,,
45,127.1291673, E,37.55449835, N,0.572 m,13.932 m,15.5332,,211413.372,550560.603,,,,,
46,127.129169, E,37.55450331, N,0.635 m,14.504 m,14.2567,,211413.524,550561.155,,,,,
47,127.1291708, E,37.55450886, N,0.599 m,15.139 m,13.2127,,211413.68,550561.771,,,,,
48,127.1291724, E,37.55451412, N,0.581 m,15.738 m,16.2877,,211413.816,550562.354,,,,,
49,127.1291742, E,37.55451914, N,0.542 m,16.319 m,11.1196,,211413.978,550562.912,,,,,
50,127.1291754, E,37.55452393, N,0.596 m,16.861 m,11.6944,,211414.082,550563.444,,,,,
51,127.1291767, E,37.55452919, N,0.549 m,17.457 m,14.4433,,211414.202,550564.028,,,,,
52,127.1291783, E,37.55453398, N,0.604 m,18.006 m,12.4741,,211414.338,550564.559,,,,,
53,127.1291798, E,37.5545393, N,0.559 m,18.61 m,13.148,,211414.468,550565.15,,,,,
54,127.1291812, E,37.5545442, N,0.573 m,19.169 m,13.1706,,211414.594,550565.694,,,,,
55,127.1291827, E,37.55454923, N,0.609 m,19.742 m,11.7475,,211414.724,550566.252,,,,,
56,127.1291841, E,37.5545546, N,0.555 m,20.351 m,11.1917,,211414.847,550566.849,,,,,
57,127.1291853, E,37.55455951, N,0.557 m,20.906 m,12.1734,,211414.954,550567.394,,,,,
58,127.1291866, E,37.55456442, N,0.583 m,21.464 m,11.6388,,211415.071,550567.938,,,,,
59,127.129188, E,37.55456956, N,0.564 m,22.046 m,8.6746,,211415.188,550568.509,,,,,
60,127.1291889, E,37.55457458, N,0.518 m,22.61 m,8.3611,,211415.272,550569.067,,,,,
61,127.1291898, E,37.5545792, N,0.562 m,23.128 m,8.7412,,211415.346,550569.579,,,,,
62,127.1291908, E,37.5545842, N,0.534 m,23.69 m,4.958,,211415.431,550570.135,,,,,
63,127.1291913, E,37.55458899, N,0.532 m,24.224 m,0.7774,,211415.476,550570.666,,,,,
64,127.1291914, E,37.55459378, N,0.532 m,24.755 m,2.5228,,211415.483,550571.198,,,,,
65,127.1291916, E,37.55459857, N,0.527 m,25.288 m,4.3151,,211415.506,550571.73,,,,,
66,127.1291921, E,37.55460331, N,0.527 m,25.814 m,4.3151,,211415.545,550572.255,,,,,
67,127.1291925, E,37.55460804, N,0.558 m,26.341 m,359.7456,,211415.583,550572.781,,,,,
68,127.1291925, E,37.55461307, N,0.506 m,26.899 m,2.2813,,211415.58,550573.338,,,,,
69,127.1291927, E,37.55461762, N,0.545 m,27.405 m,357.3524,,211415.6,550573.844,,,,,
70,127.1291924, E,37.55462253, N,0.52 m,27.951 m,356.8593,,211415.574,550574.389,,,,,
71,127.1291921, E,37.55462721, N,0.519 m,28.47 m,357.9312,,211415.545,550574.908,,,,,
72,127.1291919, E,37.55463188, N,0.517 m,28.989 m,352.1519,,211415.525,550575.427,,,,,
73,127.1291911, E,37.5546365, N,0.541 m,29.507 m,354.2315,,211415.454,550575.939,,,,,
74,127.1291905, E,37.55464135, N,0.514 m,30.048 m,358.9392,,211415.399,550576.477,,,,,
75,127.1291904, E,37.55464598, N,0.59 m,30.562 m,351.548,,211415.388,550576.991,,,,,
76,127.1291894, E,37.55465124, N,0.557 m,31.152 m,343.8586,,211415.301,550577.575,,,,,
77,127.1291876, E,37.55465606, N,0.564 m,31.709 m,345.0837,,211415.145,550578.11,,,,,
78,127.129186, E,37.55466097, N,0.572 m,32.273 m,348.8007,,211414.999,550578.655,,,,,
79,127.1291847, E,37.55466603, N,0.566 m,32.845 m,342.059,,211414.887,550579.216,,,,,
80,127.1291828, E,37.55467088, N,0.562 m,33.412 m,337.3573,,211414.712,550579.754,,,,,
81,127.1291803, E,37.55467556, N,0.573 m,33.974 m,344.3116,,211414.495,550580.273,,,,,
82,127.1291786, E,37.55468053, N,0.553 m,34.547 m,338.0278,,211414.339,550580.824,,,,,
83,127.1291762, E,37.55468515, N,0.534 m,35.1 m,332.5797,,211414.132,550581.337,,,,,
84,127.1291734, E,37.55468942, N,0.599 m,35.633 m,335.4553,,211413.885,550581.81,,,,,
85,127.1291706, E,37.55469433, N,0.537 m,36.233 m,333.5138,,211413.636,550582.355,,,,,
86,127.1291679, E,37.55469865, N,0.539 m,36.769 m,336.492,,211413.396,550582.835,,,,,
87,127.1291655, E,37.5547031, N,0.533 m,37.308 m,328.517,,211413.18,550583.328,,,,,
88,127.1291623, E,37.5547072, N,0.55 m,37.841 m,332.3046,,211412.901,550583.782,,,,,
89,127.1291594, E,37.55471158, N,0.538 m,38.39 m,326.3888,,211412.645,550584.269,,,,,
90,127.1291561, E,37.55471562, N,0.543 m,38.928 m,326.7682,,211412.347,550584.716,,,,,
91,127.1291527, E,37.55471971, N,0.596 m,39.471 m,328.2057,,211412.049,550585.17,,,,,
92,127.1291492, E,37.55472428, N,0.568 m,40.067 m,325.301,,211411.734,550585.676,,,,,
93,127.1291455, E,37.55472849, N,0.566 m,40.636 m,323.4718,,211411.41,550586.143,,,,,
94,127.1291417, E,37.55473258, N,0.537 m,41.201 m,320.7164,,211411.072,550586.597,,,,,
95,127.1291378, E,37.55473633, N,0.544 m,41.738 m,320.8856,,211410.732,550587.012,,,,,
96,127.129134, E,37.55474013, N,0.541 m,42.282 m,316.0499,,211410.388,550587.434,,,,,
97,127.1291297, E,37.55474364, N,0.596 m,42.823 m,316.8412,,211410.012,550587.823,,,,,
98,127.1291251, E,37.55474756, N,0.541 m,43.42 m,315.0788,,211409.604,550588.257,,,,,
99,127.1291208, E,37.55475101, N,0.536 m,43.961 m,309.9287,,211409.221,550588.64,,,,,
100,127.1291161, E,37.55475411, N,0.539 m,44.497 m,309.7078,,211408.809,550588.984,,,,,
101,127.1291114, E,37.55475721, N,0.535 m,45.036 m,311.1395,,211408.394,550589.327,,,,,
102,127.1291069, E,37.55476038, N,0.546 m,45.571 m,307.6751,,211407.991,550589.679,,,,,
103,127.129102, E,37.55476339, N,0.548 m,46.116 m,304.145,,211407.559,550590.011,,,,,
104,127.1290968, E,37.55476616, N,0.564 m,46.664 m,300.9673,,211407.105,550590.318,,,,,
105,127.1290914, E,37.55476878, N,0.542 m,47.229 m,300.2202,,211406.62,550590.608,,,,,
