Idx,Longitude,,Latitude,,Length,Total Length,Heading,,X (View Proj),Y (View Proj),,,차량종류,색상,Label
1,127.1291469, E,37.55444158, N,0.0569 m,---,11.3045,,211411.582,550554.3,,,car,검정색, 2-1
2,127.1291471, E,37.55444208, N,0.02214 m,0.0569 m,17.8163,,211411.593,550554.356,,,,,
3,127.1291472, E,37.55444227, N,0.01127 m,0.079 m,20.3272,,211411.6,550554.377,,,,,
4,127.1291472, E,37.55444237, N,0.01689 m,0.0903 m,9.541,,211411.604,550554.387,,,,,
5,127.1291472, E,37.55444252, N,0.03377 m,0.1072 m,13.1214,,211411.607,550554.404,,,,,
6,127.1291473, E,37.55444281, N,0.0476 m,0.141 m,10.2154,,211411.614,550554.437,,,,,
7,127.1291474, E,37.55444323, N,0.0674 m,0.1886 m,16.223,,211411.623,550554.484,,,,,
8,127.1291476, E,37.55444382, N,0.04149 m,0.256 m,19.2576,,211411.641,550554.548,,,,,
9,127.1291478, E,37.55444417, N,0.063 m,0.2975 m,19.0033,,211411.655,550554.588,,,,,
10,127.129148, E,37.55444471, N,0.0625 m,0.3605 m,11.0822,,211411.675,550554.647,,,,,
11,127.1291481, E,37.55444526, N,0.0946 m,0.423 m,13.6145,,211411.687,550554.709,,,,,
12,127.1291484, E,37.55444609, N,0.03774 m,0.518 m,9.0625,,211411.709,550554.801,,,,,
13,127.1291485, E,37.55444642, N,0.1196 m,0.555 m,14.3789,,211411.715,550554.838,,,,,
14,127.1291488, E,37.55444747, N,0.1274 m,0.675 m,11.9114,,211411.745,550554.954,,,,,
15,127.1291491, E,37.55444859, N,0.1148 m,0.802 m,16.9001,,211411.771,550555.079,,,,,
16,127.1291495, E,37.55444958, N,0.1552 m,0.917 m,17.3201,,211411.804,550555.188,,,,,
17,127.12915, E,37.55445092, N,0.1749 m,1.072 m,15.3338,,211411.85,550555.337,,,,,
18,127.1291505, E,37.55445244, N,0.1545 m,1.247 m,16.4147,,211411.896,550555.505,,,,,
19,127.129151, E,37.55445377, N,0.1836 m,1.402 m,16.2432,,211411.94,550555.654,,,,,
20,127.1291516, E,37.55445536, N,0.2221 m,1.585 m,12.0353,,211411.991,550555.83,,,,,
21,127.1291521, E,37.55445732, N,0.1805 m,1.807 m,12.3434,,211412.037,550556.047,,,,,
22,127.1291526, E,37.5544589, N,0.2461 m,1.988 m,15.125,,211412.075,550556.224,,,,,
23,127.1291533, E,37.55446105, N,0.2536 m,2.234 m,14.6752,,211412.139,550556.461,,,,,
24,127.129154, E,37.55446326, N,0.2498 m,2.488 m,13.6884,,211412.203,550556.707,,,,,
25,127.1291547, E,37.55446544, N,0.2749 m,2.737 m,16.8289,,211412.262,550556.949,,,,,
26,127.1291556, E,37.55446781, N,0.3048 m,3.012 m,17.1461,,211412.341,550557.213,,,,,
27,127.1291566, E,37.55447044, N,0.2858 m,3.317 m,12.9965,,211412.43,550557.504,,,,,
28,127.1291573, E,37.55447295, N,0.3024 m,3.603 m,17.2882,,211412.494,550557.783,,,,,
29,127.1291583, E,37.55447555, N,0.3125 m,3.905 m,15.2516,,211412.584,550558.072,,,,,
30,127.1291593, E,37.55447826, N,0.3067 m,4.218 m,16.8522,,211412.666,550558.373,,,,,
31,127.1291603, E,37.55448091, N,0.3918 m,4.525 m,11.9385,,211412.754,550558.667,,,,,
32,127.1291612, E,37.55448436, N,0.2692 m,4.916 m,20.0618,,211412.835,550559.05,,,,,
33,127.1291622, E,37.55448664, N,0.4029 m,5.186 m,16.099,,211412.927,550559.303,,,,,
34,127.1291635, E,37.55449013, N,0.3602 m,5.588 m,16.7779,,211413.038,550559.69,,,,,
35,127.1291647, E,37.55449324, N,0.4122 m,5.949 m,18.5136,,211413.141,550560.035,,,,,
36,127.1291662, E,37.55449676, N,0.3813 m,6.361 m,15.2327,,211413.272,550560.427,,,,,
37,127.1291673, E,37.55450007, N,0.4001 m,6.742 m,12.2501,,211413.371,550560.795,,,,,
38,127.1291683, E,37.5545036, N,0.4256 m,7.142 m,17.3711,,211413.456,550561.186,,,,,
39,127.1291697, E,37.55450726, N,0.3904 m,7.568 m,17.8019,,211413.582,550561.592,,,,,
40,127.129171, E,37.5545106, N,0.4662 m,7.958 m,11.9431,,211413.701,550561.964,,,,,
41,127.1291721, E,37.55451471, N,0.426 m,8.424 m,15.7408,,211413.797,550562.42,,,,,
42,127.1291734, E,37.55451841, N,0.4259 m,8.85 m,13.6145,,211413.912,550562.83,,,,,
43,127.1291746, E,37.55452214, N,0.4959 m,9.276 m,19.4941,,211414.012,550563.244,,,,,
44,127.1291765, E,37.55452635, N,0.4753 m,9.772 m,12.6576,,211414.176,550563.712,,,,,
45,127.1291776, E,37.55453053, N,0.4018 m,10.248 m,15.5735,,211414.28,550564.176,,,,,
46,127.1291789, E,37.55453402, N,0.523 m,10.649 m,16.8775,,211414.387,550564.563,,,,,
47,127.1291806, E,37.55453853, N,0.4454 m,11.173 m,15.8096,,211414.539,550565.064,,,,,
48,127.1291819, E,37.55454239, N,0.54 m,11.618 m,8.0362,,211414.659,550565.493,,,,,
49,127.1291828, E,37.55454721, N,0.4838 m,12.158 m,18.0828,,211414.734,550566.028,,,,,
50,127.1291845, E,37.55455135, N,0.549 m,12.642 m,14.5564,,211414.884,550566.488,,,,,
51,127.1291861, E,37.55455614, N,0.4982 m,13.191 m,15.5399,,211415.021,550567.019,,,,,
52,127.1291876, E,37.55456046, N,0.53 m,13.689 m,15.7209,,211415.154,550567.499,,,,,
53,127.1291892, E,37.55456506, N,0.528 m,14.219 m,14.6529,,211415.297,550568.01,,,,,
54,127.1291907, E,37.55456966, N,0.536 m,14.747 m,7.1505,,211415.429,550568.521,,,,,
55,127.1291915, E,37.55457446, N,0.544 m,15.284 m,7.1229,,211415.495,550569.053,,,,,
56,127.1291922, E,37.55457933, N,0.577 m,15.828 m,7.7069,,211415.562,550569.594,,,,,
57,127.1291931, E,37.55458448, N,0.512 m,16.405 m,4.6526,,211415.639,550570.166,,,,,
58,127.1291936, E,37.55458908, N,0.552 m,16.918 m,0.0786,,211415.68,550570.677,,,,,
59,127.1291936, E,37.55459405, N,0.552 m,17.469 m,0.0786,,211415.68,550571.228,,,,,
60,127.1291936, E,37.55459902, N,0.572 m,18.021 m,359.0557,,211415.68,550571.78,,,,,
61,127.1291935, E,37.55460418, N,0.553 m,18.593 m,3.2586,,211415.67,550572.352,,,,,
62,127.1291938, E,37.55460915, N,0.532 m,19.146 m,357.3263,,211415.7,550572.904,,,,,
63,127.1291936, E,37.55461393, N,0.562 m,19.678 m,359.0371,,211415.675,550573.435,,,,,
64,127.1291935, E,37.554619, N,0.593 m,20.24 m,357.1178,,211415.664,550573.997,,,,,
65,127.1291931, E,37.55462434, N,0.536 m,20.833 m,352.412,,211415.634,550574.589,,,,,
66,127.1291923, E,37.55462912, N,0.557 m,21.369 m,352.1716,,211415.562,550575.121,,,,,
67,127.1291915, E,37.55463409, N,0.548 m,21.926 m,351.6558,,211415.486,550575.672,,,,,
68,127.1291906, E,37.55463898, N,0.569 m,22.474 m,350.7855,,211415.405,550576.215,,,,,
69,127.1291895, E,37.55464405, N,0.59 m,23.044 m,351.1062,,211415.313,550576.777,,,,,
70,127.1291885, E,37.55464929, N,0.558 m,23.633 m,346.2972,,211415.221,550577.359,,,,,
71,127.129187, E,37.55465417, N,0.608 m,24.191 m,343.4718,,211415.089,550577.9,,,,,
72,127.129185, E,37.55465942, N,0.592 m,24.798 m,345.0837,,211414.915,550578.483,,,,,
73,127.1291833, E,37.55466458, N,0.617 m,25.391 m,340.744,,211414.762,550579.055,,,,,
74,127.129181, E,37.55466983, N,0.6 m,26.008 m,342.4146,,211414.557,550579.637,,,,,
75,127.129179, E,37.55467499, N,0.6 m,26.608 m,337.0084,,211414.375,550580.209,,,,,
76,127.1291763, E,37.55467996, N,0.615 m,27.208 m,338.6311,,211414.14,550580.761,,,,,
77,127.1291738, E,37.55468512, N,0.622 m,27.822 m,334.7775,,211413.915,550581.333,,,,,
78,127.1291708, E,37.55469018, N,0.599 m,28.444 m,330.4551,,211413.65,550581.895,,,,,
79,127.1291674, E,37.55469488, N,0.619 m,29.043 m,333.0909,,211413.354,550582.416,,,,,
80,127.1291643, E,37.55469985, N,0.571 m,29.662 m,333.5138,,211413.073,550582.968,,,,,
81,127.1291614, E,37.55470446, N,0.658 m,30.233 m,334.3095,,211412.817,550583.478,,,,,
82,127.1291582, E,37.5547098, N,0.635 m,30.891 m,323.5774,,211412.531,550584.071,,,,,
83,127.1291539, E,37.55471441, N,0.624 m,31.527 m,329.5084,,211412.153,550584.582,,,,,
84,127.1291503, E,37.55471925, N,0.645 m,32.151 m,319.576,,211411.836,550585.119,,,,,
85,127.1291456, E,37.55472368, N,0.644 m,32.795 m,324.1183,,211411.417,550585.609,,,,,
86,127.1291413, E,37.55472837, N,0.619 m,33.439 m,322.4526,,211411.039,550586.13,,,,,
87,127.129137, E,37.5547328, N,0.649 m,34.058 m,320.5041,,211410.661,550586.621,,,,,
88,127.1291324, E,37.55473731, N,0.696 m,34.708 m,310.3152,,211410.247,550587.121,,,,,
89,127.1291263, E,37.55474137, N,0.674 m,35.404 m,310.7744,,211409.716,550587.571,,,,,
90,127.1291206, E,37.55474533, N,0.63 m,36.077 m,311.7896,,211409.205,550588.01,,,,,
91,127.1291153, E,37.55474911, N,0.646 m,36.707 m,309.3045,,211408.735,550588.429,,,,,
92,127.1291096, E,37.5547528, N,0.666 m,37.353 m,302.55,,211408.235,550588.837,,,,,
93,127.1291032, E,37.55475603, N,0.605 m,38.019 m,305.1105,,211407.673,550589.195,,,,,
94,127.1290976, E,37.55475917, N,0.74 m,38.624 m,302.6714,,211407.177,550589.542,,,,,
95,127.1290906, E,37.55476276, N,0.643 m,39.364 m,302.7594,,211406.554,550589.941,,,,,
96,127.1290845, E,37.5547659, N,0.681 m,40.007 m,295.8748,,211406.013,550590.288,,,,,
97,127.1290775, E,37.55476858, N,0.683 m,40.688 m,301.6302,,211405.4,550590.584,,,,,
98,127.129071, E,37.55477181, N,0.691 m,41.371 m,293.6111,,211404.817,550590.942,,,,,
99,127.1290638, E,37.5547743, N,0.681 m,42.062 m,293.954,,211404.184,550591.218,,,,,
100,127.1290567, E,37.55477679, N,0.696 m,42.744 m,292.5046,,211403.561,550591.494,,,,,
101,127.1290495, E,37.55477919, N,0.711 m,43.44 m,291.1163,,211402.917,550591.759,,,,,
102,127.129042, E,37.5547815, N,0.674 m,44.151 m,288.6511,,211402.253,550592.015,,,,,
103,127.1290347, E,37.55478344, N,0.716 m,44.825 m,284.115,,211401.615,550592.229,,,,,
104,127.1290269, E,37.55478502, N,0.714 m,45.541 m,286.6995,,211400.92,550592.403,,,,,
105,127.1290191, E,37.55478687, N,0.734 m,46.255 m,282.9537,,211400.236,550592.607,,,,,
106,127.129011, E,37.55478835, N,0.731 m,46.989 m,282.1734,,211399.52,550592.771,,,,,
107,127.129003, E,37.55478974, N,0.724 m,47.72 m,283.1339,,211398.805,550592.924,,,,,
108,127.128995, E,37.55479122, N,0.681 m,48.444 m,283.0733,,211398.1,550593.087,,,,,
109,127.1289875, E,37.55479261, N,0.722 m,49.125 m,278.2088,,211397.436,550593.241,,,,,
110,127.1289794, E,37.55479354, N,0.717 m,49.848 m,280.7484,,211396.721,550593.343,,,,,
111,127.1289714, E,37.55479474, N,0.678 m,50.565 m,276.1328,,211396.016,550593.476,,,,,
112,127.1289638, E,37.55479539, N,0.724 m,51.243 m,279.0092,,211395.342,550593.547,,,,,
113,127.1289557, E,37.55479642, N,0.708 m,51.967 m,275.0484,,211394.627,550593.659,,,,,
114,127.1289477, E,37.55479698, N,0.741 m,52.675 m,277.2036,,211393.922,550593.721,,,,,
115,127.1289394, E,37.55479781, N,0.707 m,53.416 m,274.2232,,211393.186,550593.813,,,,,
116,127.1289314, E,37.55479828, N,0.777 m,54.123 m,277.881,,211392.482,550593.864,,,,,
117,127.1289227, E,37.55479924, N,0.82 m,54.9 m,271.7542,,211391.712,550593.969,,,,,
118,127.1289134, E,37.55479947, N,0.758 m,55.719 m,273.2838,,211390.892,550593.993,,,,,
119,127.1289049, E,37.55479986, N,0.727 m,56.477 m,271.5107,,211390.136,550594.036,,,,,
120,127.1288966, E,37.55480003, N,0.769 m,57.204 m,271.2063,,211389.409,550594.054,,,,,
121,127.1288879, E,37.55480018, N,0.77 m,57.973 m,276.1701,,211388.64,550594.069,,,,,
122,127.1288793, E,37.55480092, N,0.742 m,58.743 m,272.1824,,211387.875,550594.151,,,,,
123,127.1288709, E,37.55480118, N,0.839 m,59.485 m,272.3526,,211387.133,550594.178,,,,,
124,127.1288614, E,37.55480149, N,0.785 m,60.324 m,272.952,,211386.294,550594.211,,,,,
125,127.1288525, E,37.55480185, N,0.788 m,61.109 m,272.5012,,211385.51,550594.25,,,,,
126,127.1288436, E,37.55480216, N,0.817 m,61.897 m,269.4419,,211384.723,550594.284,,,,,
127,127.1288344, E,37.55480209, N,0.802 m,62.714 m,275.273,,211383.906,550594.275,,,,,
128,127.1288253, E,37.55480276, N,0.817 m,63.517 m,269.8663,,211383.107,550594.347,,,,,
129,127.1288161, E,37.55480274, N,0.875 m,64.334 m,269.8803,,211382.29,550594.344,,,,,
130,127.1288062, E,37.55480272, N,0.851 m,65.209 m,270.0785,,211381.415,550594.341,,,,,
131,127.1287965, E,37.55480273, N,0.823 m,66.059 m,269.6572,,211380.564,550594.341,,,,,
132,127.1287872, E,37.55480269, N,0.905 m,66.883 m,271.277,,211379.741,550594.335,,,,,
133,127.128777, E,37.55480287, N,0.817 m,67.787 m,270.0785,,211378.837,550594.354,,,,,
134,127.1287677, E,37.55480288, N,0.92 m,68.605 m,271.7757,,211378.019,550594.354,,,,,
135,127.1287573, E,37.55480314, N,0.892 m,69.524 m,270.0785,,211377.1,550594.381,,,,,
136,127.1287472, E,37.55480315, N,0.92 m,70.417 m,271.7756,,211376.208,550594.381,,,,,
137,127.1287368, E,37.55480341, N,0.892 m,71.336 m,270.0785,,211375.288,550594.409,,,,,
138,127.1287267, E,37.55480342, N,0.967 m,72.229 m,269.675,,211374.396,550594.409,,,,,
139,127.1287158, E,37.55480337, N,0.92 m,73.196 m,268.8054,,211373.429,550594.402,,,,,
140,127.1287054, E,37.55480319, N,0.941 m,74.115 m,272.568,,211372.51,550594.381,,,,,
141,127.1286947, E,37.55480357, N,0.981 m,75.056 m,270.8742,,211371.57,550594.422,,,,,
142,127.1286836, E,37.55480371, N,0.988 m,76.037 m,270.4736,,211370.589,550594.436,,,,,
143,127.1286725, E,37.55480378, N,0.96 m,77.025 m,270.0784,,211369.601,550594.443,,,,,
144,127.1286616, E,37.55480379, N,1.008 m,77.985 m,271.2397,,211368.641,550594.443,,,,,
145,127.1286502, E,37.55480399, N,---,78.993 m,---,211367.633,550594.463,,,,,,
