Idx,Longitude,,Latitude,,Length,Total Length,Heading,,X (View Proj),Y (View Proj),,,차량종류,색상,Label
1,127.129083, E,37.55426777, N,0.711 m,---,18.742,,211405.961,550535.002,,,car,흰색, 2-1
2,127.1290856, E,37.55427384, N,0.636 m,0.711 m,15.6193,,211406.188,550535.675,,,,,
3,127.1290876, E,37.55427936, N,0.612 m,1.347 m,15.9133,,211406.359,550536.288,,,,,
4,127.1290895, E,37.55428466, N,0.634 m,1.959 m,14.7191,,211406.526,550536.877,,,,,
5,127.1290913, E,37.55429018, N,0.637 m,2.593 m,15.9177,,211406.686,550537.49,,,,,
6,127.1290933, E,37.5542957, N,0.641 m,3.23 m,17.1021,,211406.86,550538.103,,,,,
7,127.1290954, E,37.55430123, N,0.661 m,3.871 m,19.4814,,211407.048,550538.716,,,,,
8,127.1290979, E,37.55430684, N,0.664 m,4.532 m,16.7589,,211407.267,550539.34,,,,,
9,127.1291001, E,37.55431257, N,0.634 m,5.196 m,14.0142,,211407.458,550539.976,,,,,
10,127.1291018, E,37.55431811, N,0.704 m,5.83 m,15.9727,,211407.61,550540.591,,,,,
11,127.129104, E,37.55432421, N,0.635 m,6.534 m,12.7085,,211407.803,550541.268,,,,,
12,127.1291056, E,37.5543298, N,0.664 m,7.17 m,16.8537,,211407.942,550541.888,,,,,
13,127.1291077, E,37.55433552, N,0.7 m,7.834 m,15.3914,,211408.134,550542.524,,,,,
14,127.1291098, E,37.5543416, N,0.727 m,8.534 m,22.4341,,211408.319,550543.199,,,,,
15,127.129113, E,37.55434766, N,0.695 m,9.261 m,19.2615,,211408.595,550543.872,,,,,
16,127.1291156, E,37.55435358, N,0.686 m,9.957 m,15.5104,,211408.824,550544.529,,,,,
17,127.1291177, E,37.55435953, N,0.676 m,10.643 m,20.9764,,211409.006,550545.19,,,,,
18,127.1291204, E,37.55436522, N,0.682 m,11.319 m,16.4083,,211409.248,550545.822,,,,,
19,127.1291226, E,37.55437111, N,0.696 m,12 m,18.2446,,211409.439,550546.476,,,,,
20,127.129125, E,37.55437707, N,0.724 m,12.696 m,14.8638,,211409.656,550547.137,,,,,
21,127.1291271, E,37.55438337, N,0.74 m,13.421 m,16.6587,,211409.841,550547.838,,,,,
22,127.1291295, E,37.55438976, N,0.722 m,14.161 m,17.1921,,211410.052,550548.547,,,,,
23,127.129132, E,37.55439598, N,0.735 m,14.883 m,15.7752,,211410.265,550549.237,,,,,
24,127.1291342, E,37.55440236, N,0.735 m,15.619 m,14.1149,,211410.464,550549.945,,,,,
25,127.1291363, E,37.55440878, N,0.749 m,16.353 m,17.9513,,211410.642,550550.658,,,,,
26,127.1291389, E,37.5544152, N,0.744 m,17.103 m,15.1767,,211410.872,550551.371,,,,,
27,127.1291411, E,37.55442167, N,0.732 m,17.846 m,13.3307,,211411.066,550552.089,,,,,
28,127.129143, E,37.55442809, N,0.725 m,18.579 m,15.996,,211411.234,550552.802,,,,,
29,127.1291452, E,37.55443437, N,0.741 m,19.304 m,12.759,,211411.433,550553.5,,,,,
30,127.1291471, E,37.55444088, N,0.712 m,20.045 m,13.7118,,211411.595,550554.223,,,,,
31,127.129149, E,37.55444712, N,0.714 m,20.758 m,14.1149,,211411.763,550554.915,,,,,
32,127.129151, E,37.55445336, N,0.719 m,21.471 m,15.713,,211411.936,550555.607,,,,,
33,127.1291532, E,37.55445959, N,0.734 m,22.19 m,15.3868,,211412.13,550556.3,,,,,
34,127.1291554, E,37.55446596, N,0.713 m,22.924 m,17.1356,,211412.324,550557.008,,,,,
35,127.1291578, E,37.55447211, N,0.7 m,23.637 m,19.249,,211412.533,550557.689,,,,,
36,127.1291604, E,37.55447806, N,0.726 m,24.337 m,13.0275,,211412.763,550558.351,,,,,
37,127.1291622, E,37.55448444, N,0.7 m,25.064 m,14.833,,211412.926,550559.059,,,,,
38,127.1291643, E,37.55449053, N,0.682 m,25.764 m,14.3254,,211413.104,550559.735,,,,,
39,127.1291662, E,37.55449649, N,0.705 m,26.446 m,14.726,,211413.272,550560.397,,,,,
40,127.1291682, E,37.55450263, N,0.703 m,27.151 m,14.217,,211413.45,550561.079,,,,,
41,127.1291701, E,37.55450877, N,0.681 m,27.854 m,18.193,,211413.622,550561.761,,,,,
42,127.1291726, E,37.5545146, N,0.666 m,28.535 m,15.8408,,211413.834,550562.408,,,,,
43,127.1291746, E,37.55452037, N,0.686 m,29.201 m,11.8118,,211414.014,550563.049,,,,,
44,127.1291762, E,37.55452642, N,0.667 m,29.887 m,12.7518,,211414.154,550563.72,,,,,
45,127.1291779, E,37.55453229, N,0.687 m,30.554 m,10.91,,211414.3,550564.371,,,,,
46,127.1291793, E,37.55453837, N,0.67 m,31.241 m,11.1866,,211414.429,550565.046,,,,,
47,127.1291808, E,37.55454429, N,0.643 m,31.912 m,7.6226,,211414.559,550565.704,,,,,
48,127.1291818, E,37.55455003, N,0.658 m,32.554 m,6.0131,,211414.643,550566.341,,,,,
