Idx,Longitude,,Latitude,,Length,Total Length,Heading,,X (View Proj),Y (View Proj),,,차량종류,색상,Label
1,127.1291078, E,37.55433559, N,0.0872 m,---,16.4621,,211408.136,550542.532,,,car,회색,2-1
2,127.129108, E,37.55433634, N,0.02125 m,0.0872 m,18.0417,,211408.16,550542.615,,,,,
3,127.1291081, E,37.55433653, N,0.03679 m,0.1085 m,17.0646,,211408.167,550542.636,,,,,
4,127.1291082, E,37.55433684, N,0.04846 m,0.1453 m,9.524,,211408.177,550542.671,,,,,
5,127.1291083, E,37.55433727, N,0.082 m,0.1937 m,16.6317,,211408.185,550542.719,,,,,
6,127.1291086, E,37.55433798, N,0.0932 m,0.2758 m,13.4114,,211408.209,550542.797,,,,,
7,127.1291088, E,37.5543388, N,0.1146 m,0.369 m,23.8281,,211408.23,550542.888,,,,,
8,127.1291094, E,37.55433974, N,0.0653 m,0.4836 m,21.7377,,211408.276,550542.993,,,,,
9,127.1291096, E,37.55434029, N,0.0919 m,0.549 m,25.7667,,211408.301,550543.053,,,,,
10,127.1291101, E,37.55434103, N,0.1267 m,0.641 m,25.3729,,211408.34,550543.136,,,,,
11,127.1291107, E,37.55434207, N,0.1269 m,0.768 m,17.3903,,211408.395,550543.251,,,,,
12,127.1291111, E,37.55434316, N,0.1771 m,0.894 m,12.3867,,211408.432,550543.372,,,,,
13,127.1291116, E,37.55434472, N,0.1857 m,1.072 m,27.2947,,211408.47,550543.545,,,,,
14,127.1291125, E,37.5543462, N,0.1981 m,1.257 m,12.4594,,211408.555,550543.71,,,,,
15,127.129113, E,37.55434795, N,0.2034 m,1.455 m,25.2561,,211408.597,550543.904,,,,,
16,127.129114, E,37.5543496, N,0.2148 m,1.659 m,14.929,,211408.684,550544.088,,,,,
17,127.1291146, E,37.55435147, N,0.229 m,1.873 m,16.024,,211408.739,550544.295,,,,,
18,127.1291153, E,37.55435346, N,0.2728 m,2.102 m,21.0213,,211408.802,550544.516,,,,,
19,127.1291164, E,37.55435575, N,0.2536 m,2.375 m,11.528,,211408.899,550544.77,,,,,
20,127.129117, E,37.55435799, N,0.2445 m,2.629 m,23.1804,,211408.95,550545.019,,,,,
21,127.1291181, E,37.55436001, N,0.2658 m,2.873 m,16.583,,211409.046,550545.244,,,,,
22,127.129119, E,37.55436231, N,0.2697 m,3.139 m,17.0339,,211409.121,550545.499,,,,,
23,127.1291199, E,37.55436463, N,0.2636 m,3.409 m,18.5136,,211409.2,550545.757,,,,,
24,127.1291208, E,37.55436689, N,0.2043 m,3.673 m,19.9189,,211409.283,550546.007,,,,,
25,127.1291216, E,37.55436862, N,0.2722 m,3.877 m,15.9217,,211409.353,550546.199,,,,,
26,127.1291224, E,37.55437097, N,0.2697 m,4.149 m,19.2268,,211409.427,550546.461,,,,,
27,127.1291234, E,37.55437327, N,0.262 m,4.419 m,16.5555,,211409.515,550546.716,,,,,
28,127.1291243, E,37.55437553, N,0.291 m,4.681 m,18.5136,,211409.59,550546.967,,,,,
29,127.1291253, E,37.55437802, N,0.286 m,4.972 m,12.2229,,211409.682,550547.243,,,,,
30,127.129126, E,37.55438054, N,0.3103 m,5.258 m,20.7877,,211409.742,550547.522,,,,,
31,127.1291273, E,37.55438315, N,0.3272 m,5.568 m,15.7686,,211409.852,550547.813,,,,,
32,127.1291283, E,37.55438599, N,0.3471 m,5.895 m,16.666,,211409.94,550548.128,,,,,
33,127.1291294, E,37.55438898, N,0.3212 m,6.242 m,18.7132,,211410.039,550548.46,,,,,
34,127.1291306, E,37.55439172, N,0.3607 m,6.564 m,16.1708,,211410.142,550548.765,,,,,
35,127.1291317, E,37.55439485, N,0.3664 m,6.924 m,17.6968,,211410.242,550549.111,,,,,
36,127.129133, E,37.55439799, N,0.3756 m,7.291 m,20.6768,,211410.353,550549.46,,,,,
37,127.1291345, E,37.55440116, N,0.3851 m,7.666 m,17.1814,,211410.485,550549.812,,,,,
38,127.1291357, E,37.55440447, N,0.3864 m,8.051 m,17.3881,,211410.598,550550.18,,,,,
