Idx,Longitude,,Latitude,,Length,Total Length,Heading,,X (View Proj),Y (View Proj),,,차량종류,색상,Label
1,127.1290873, E,37.554277, N,1.088 m,---,15.996,,211406.335,550536.026,,,car,검정색, 2-1
2,127.1290907, E,37.55428642, N,1.066 m,1.088 m,16.3388,,211406.634,550537.072,,,,,
3,127.1290941, E,37.55429563, N,1.116 m,2.153 m,15.1767,,211406.932,550538.095,,,,,
4,127.1290974, E,37.55430533, N,1.097 m,3.269 m,14.6058,,211407.223,550539.172,,,,,
5,127.1291005, E,37.55431489, N,1.093 m,4.366 m,15.494,,211407.498,550540.234,,,,,
6,127.1291038, E,37.55432439, N,1.109 m,5.459 m,16.9312,,211407.788,550541.288,,,,,
7,127.1291075, E,37.55433395, N,1.079 m,6.568 m,16.5327,,211408.11,550542.349,,,,,
8,127.1291109, E,37.55434327, N,1.086 m,7.648 m,13.9385,,211408.416,550543.384,,,,,
9,127.1291139, E,37.55435276, N,1.07 m,8.733 m,15.8594,,211408.676,550544.438,,,,,
10,127.1291172, E,37.55436204, N,1.073 m,9.803 m,17.7287,,211408.967,550545.468,,,,,
11,127.1291209, E,37.55437125, N,1.076 m,10.877 m,16.3388,,211409.292,550546.491,,,,,
12,127.1291243, E,37.55438056, N,1.061 m,11.953 m,14.0698,,211409.593,550547.524,,,,,
13,127.1291273, E,37.55438983, N,1.033 m,13.014 m,17.6378,,211409.85,550548.554,,,,,
14,127.1291308, E,37.5543987, N,1.02 m,14.047 m,15.8513,,211410.162,550549.539,,,,,
15,127.129134, E,37.55440754, N,1.005 m,15.067 m,18.9794,,211410.439,550550.521,,,,,
16,127.1291377, E,37.5544161, N,1.033 m,16.072 m,15.2556,,211410.764,550551.471,,,,,
17,127.1291407, E,37.55442509, N,1.034 m,17.105 m,14.0223,,211411.035,550552.469,,,,,
18,127.1291436, E,37.55443412, N,1.04 m,18.139 m,15.1249,,211411.284,550553.472,,,,,
19,127.1291466, E,37.55444317, N,1.009 m,19.179 m,14.755,,211411.554,550554.476,,,,,
20,127.1291495, E,37.55445196, N,1.015 m,20.188 m,16.9455,,211411.81,550555.453,,,,,
21,127.1291529, E,37.55446071, N,1.025 m,21.203 m,16.1695,,211412.104,550556.424,,,,,
22,127.1291561, E,37.55446958, N,1.003 m,22.229 m,15.4028,,211412.388,550557.409,,,,,
23,127.1291591, E,37.5544783, N,1.017 m,23.232 m,15.2912,,211412.654,550558.377,,,,,
24,127.1291622, E,37.55448714, N,0.988 m,24.249 m,16.5866,,211412.92,550559.358,,,,,
25,127.1291654, E,37.55449567, N,1.015 m,25.237 m,14.7282,,211413.201,550560.305,,,,,
26,127.1291683, E,37.55450451, N,1.001 m,26.252 m,14.9276,,211413.458,550561.287,,,,,
27,127.1291712, E,37.55451323, N,1 m,27.253 m,14.5459,,211413.714,550562.255,,,,,
28,127.129174, E,37.55452194, N,0.981 m,28.252 m,15.0911,,211413.964,550563.223,,,,,
29,127.1291769, E,37.55453047, N,0.976 m,29.233 m,15.5378,,211414.218,550564.17,,,,,
30,127.1291799, E,37.55453894, N,0.984 m,30.209 m,12.5096,,211414.478,550565.11,,,,,
31,127.1291823, E,37.5545476, N,0.956 m,31.193 m,14.3652,,211414.69,550566.071,,,,,
32,127.129185, E,37.55455594, N,0.946 m,32.149 m,11.7364,,211414.926,550566.997,,,,,
33,127.1291872, E,37.55456429, N,0.941 m,33.095 m,11.1623,,211415.117,550567.924,,,,,
34,127.1291892, E,37.5545726, N,0.866 m,34.035 m,9.5785,,211415.298,550568.847,,,,,
35,127.1291909, E,37.55458029, N,0.962 m,34.901 m,6.8099,,211415.441,550569.701,,,,,
36,127.1291921, E,37.5545889, N,0.913 m,35.863 m,6.7928,,211415.554,550570.657,,,,,
37,127.1291934, E,37.55459707, N,0.924 m,36.777 m,5.1379,,211415.66,550571.563,,,,,
38,127.1291943, E,37.55460537, N,0.909 m,37.701 m,3.4112,,211415.742,550572.484,,,,,
39,127.1291949, E,37.55461354, N,0.868 m,38.609 m,357.4246,,211415.795,550573.391,,,,,
40,127.1291945, E,37.55462135, N,0.862 m,39.477 m,357.5784,,211415.754,550574.258,,,,,
41,127.1291941, E,37.55462911, N,0.887 m,40.339 m,357.2608,,211415.717,550575.119,,,,,
42,127.1291936, E,37.55463709, N,0.861 m,41.226 m,348.6565,,211415.673,550576.005,,,,,
43,127.1291917, E,37.5546447, N,0.824 m,42.087 m,349.3561,,211415.503,550576.849,,,,,
44,127.1291899, E,37.55465199, N,0.839 m,42.911 m,347.6392,,211415.349,550577.659,,,,,
45,127.1291879, E,37.55465938, N,0.787 m,43.75 m,343.4276,,211415.169,550578.478,,,,,
46,127.1291854, E,37.55466618, N,0.812 m,44.538 m,344.8974,,211414.943,550579.233,,,,,
47,127.129183, E,37.55467324, N,0.766 m,45.349 m,342.2687,,211414.731,550580.016,,,,,
48,127.1291803, E,37.55467981, N,0.813 m,46.115 m,337.5337,,211414.496,550580.745,,,,,
49,127.1291768, E,37.55468658, N,0.8 m,46.928 m,336.6049,,211414.185,550581.496,,,,,
50,127.1291732, E,37.55469319, N,0.787 m,47.728 m,338.2658,,211413.866,550582.229,,,,,
51,127.1291699, E,37.55469978, N,0.707 m,48.515 m,334.4568,,211413.574,550582.96,,,,,
52,127.1291665, E,37.55470553, N,0.764 m,49.222 m,327.8681,,211413.268,550583.598,,,,,
53,127.1291619, E,37.55471136, N,0.765 m,49.987 m,330.6579,,211412.86,550584.245,,,,,
54,127.1291576, E,37.55471737, N,0.752 m,50.752 m,326.6343,,211412.484,550584.911,,,,,
