Idx,Longitude,,Latitude,,Length,Total Length,Heading,,X (View Proj),Y (View Proj),,,차량종류,색상,Label
1,127.1291047, E,37.55432082, N,0.0919 m,---,11.3104,,211407.866,550540.892,,,car,검정색, 2-1
2,127.1291049, E,37.55432163, N,0.0906 m,0.0919 m,16.4682,,211407.884,550540.982,,,,,
3,127.1291052, E,37.55432241, N,0.1222 m,0.1824 m,15.8594,,211407.909,550541.069,,,,,
4,127.1291056, E,37.55432347, N,0.1447 m,0.3046 m,17.5534,,211407.942,550541.186,,,,,
5,127.129106, E,37.55432471, N,0.1223 m,0.4493 m,10.919,,211407.986,550541.324,,,,,
6,127.1291063, E,37.5543258, N,0.19 m,0.572 m,17.2947,,211408.009,550541.444,,,,,
7,127.1291069, E,37.55432743, N,0.2296 m,0.762 m,16.9,,211408.065,550541.626,,,,,
8,127.1291077, E,37.55432941, N,0.2648 m,0.991 m,12.9074,,211408.131,550541.846,,,,,
9,127.1291084, E,37.55433173, N,0.2574 m,1.256 m,15.6332,,211408.19,550542.104,,,,,
10,127.1291092, E,37.55433397, N,0.2567 m,1.513 m,15.0835,,211408.259,550542.352,,,,,
11,127.1291099, E,37.5543362, N,0.2632 m,1.77 m,11.2794,,211408.326,550542.6,,,,,
12,127.1291105, E,37.55433853, N,0.3072 m,2.033 m,17.0061,,211408.377,550542.858,,,,,
13,127.1291115, E,37.55434117, N,0.3276 m,2.34 m,16.3925,,211408.466,550543.152,,,,,
14,127.1291126, E,37.554344, N,0.51 m,2.668 m,26.2583,,211408.558,550543.466,,,,,
15,127.1291151, E,37.55434812, N,0.376 m,3.178 m,20.3612,,211408.783,550543.924,,,,,
16,127.1291166, E,37.5543513, N,0.3627 m,3.554 m,13.5273,,211408.914,550544.276,,,,,
17,127.1291176, E,37.55435448, N,0.3912 m,3.917 m,18.7503,,211408.998,550544.629,,,,,
18,127.129119, E,37.55435781, N,0.4178 m,4.308 m,13.5198,,211409.123,550545,,,,,
19,127.1291201, E,37.55436148, N,0.4221 m,4.726 m,15.391,,211409.22,550545.406,,,,,
20,127.1291213, E,37.55436514, N,0.4295 m,5.148 m,14.9543,,211409.332,550545.813,,,,,
21,127.1291226, E,37.55436888, N,0.3555 m,5.577 m,14.8754,,211409.442,550546.228,,,,,
22,127.1291236, E,37.55437198, N,0.4363 m,5.933 m,11.2215,,211409.533,550546.572,,,,,
23,127.1291246, E,37.55437583, N,0.507 m,6.369 m,16.4268,,211409.617,550547,,,,,
24,127.1291262, E,37.55438021, N,0.4873 m,6.876 m,16.7048,,211409.76,550547.486,,,,,
25,127.1291278, E,37.55438442, N,0.518 m,7.363 m,15.3338,,211409.899,550547.953,,,,,
26,127.1291294, E,37.55438892, N,0.513 m,7.881 m,16.223,,211410.035,550548.453,,,,,
27,127.129131, E,37.55439335, N,0.526 m,8.394 m,15.8298,,211410.178,550548.946,,,,,
28,127.1291326, E,37.55439791, N,0.584 m,8.919 m,17.2048,,211410.321,550549.452,,,,,
29,127.1291346, E,37.55440293, N,0.581 m,9.503 m,16.2877,,211410.493,550550.009,,,,,
30,127.1291364, E,37.55440796, N,0.57 m,10.084 m,17.2772,,211410.655,550550.567,,,,,
31,127.1291383, E,37.55441286, N,0.612 m,10.654 m,17.6499,,211410.823,550551.112,,,,,
32,127.1291404, E,37.55441812, N,0.622 m,11.266 m,16.4345,,211411.008,550551.695,,,,,
33,127.1291424, E,37.55442349, N,0.634 m,11.888 m,16.1045,,211411.183,550552.292,,,,,
34,127.1291444, E,37.55442898, N,0.645 m,12.522 m,15.2327,,211411.358,550552.902,,,,,
35,127.1291463, E,37.55443459, N,0.604 m,13.167 m,15.0101,,211411.527,550553.524,,,,,
36,127.1291481, E,37.55443985, N,0.631 m,13.772 m,17.1164,,211411.683,550554.108,,,,,
37,127.1291502, E,37.55444528, N,0.628 m,14.402 m,16.2679,,211411.868,550554.711,,,,,
38,127.1291522, E,37.55445071, N,0.648 m,15.03 m,13.9758,,211412.043,550555.314,,,,,
39,127.1291539, E,37.55445638, N,0.627 m,15.678 m,15.787,,211412.198,550555.943,,,,,
40,127.1291559, E,37.55446182, N,0.626 m,16.306 m,13.2512,,211412.368,550556.547,,,,,
41,127.1291575, E,37.55446731, N,0.639 m,16.932 m,13.2693,,211412.511,550557.157,,,,,
42,127.1291592, E,37.55447292, N,0.62 m,17.571 m,15.8594,,211412.657,550557.78,,,,,
43,127.1291611, E,37.55447829, N,0.603 m,18.191 m,14.7125,,211412.825,550558.376,,,,,
44,127.1291628, E,37.55448355, N,0.629 m,18.795 m,14.4014,,211412.978,550558.96,,,,,
45,127.1291646, E,37.55448904, N,0.604 m,19.424 m,17.2492,,211413.133,550559.57,,,,,
46,127.1291666, E,37.55449424, N,0.604 m,20.028 m,15.0101,,211413.312,550560.147,,,,,
47,127.1291684, E,37.55449949, N,0.627 m,20.632 m,15.9834,,211413.467,550560.73,,,,,
48,127.1291703, E,37.55450493, N,0.583 m,21.259 m,16.9001,,211413.639,550561.334,,,,,
49,127.1291723, E,37.55450995, N,0.624 m,21.842 m,17.0062,,211413.808,550561.891,,,,,
50,127.1291743, E,37.55451532, N,0.597 m,22.466 m,12.3038,,211413.989,550562.488,,,,,
51,127.1291758, E,37.55452058, N,0.584 m,23.063 m,14.887,,211414.116,550563.072,,,,,
52,127.1291775, E,37.55452566, N,0.4657 m,23.646 m,16.0844,,211414.265,550563.636,,,,,
53,127.1291789, E,37.55452969, N,0.609 m,24.112 m,13.0047,,211414.394,550564.083,,,,,
54,127.1291805, E,37.55453504, N,0.602 m,24.721 m,14.1149,,211414.53,550564.677,,,,,
55,127.1291821, E,37.5545403, N,0.597 m,25.323 m,12.3038,,211414.676,550565.261,,,,,
56,127.1291836, E,37.55454555, N,0.607 m,25.92 m,12.1093,,211414.802,550565.844,,,,,
57,127.129185, E,37.5545509, N,0.567 m,26.527 m,11.9673,,211414.929,550566.438,,,,,
58,127.1291863, E,37.55455589, N,0.581 m,27.093 m,9.2258,,211415.045,550566.992,,,,,
59,127.1291874, E,37.55456106, N,0.576 m,27.675 m,11.7681,,211415.138,550567.566,,,,,
60,127.1291887, E,37.55456614, N,0.567 m,28.251 m,11.9673,,211415.254,550568.13,,,,,
61,127.1291901, E,37.55457114, N,0.573 m,28.817 m,9.8611,,211415.371,550568.685,,,,,
62,127.1291912, E,37.55457622, N,0.596 m,29.39 m,5.2308,,211415.468,550569.249,,,,,
63,127.1291918, E,37.55458157, N,0.654 m,29.986 m,4.3466,,211415.522,550569.843,,,,,
64,127.1291923, E,37.55458744, N,0.601 m,30.639 m,4.5917,,211415.571,550570.494,,,,,
65,127.1291929, E,37.55459284, N,0.507 m,31.24 m,4.4774,,211415.618,550571.093,,,,,
66,127.1291933, E,37.55459739, N,0.577 m,31.748 m,0.7225,,211415.657,550571.599,,,,,
67,127.1291934, E,37.5546026, N,0.551 m,32.325 m,358.3941,,211415.663,550572.176,,,,,
68,127.1291932, E,37.55460756, N,0.552 m,32.876 m,358.0574,,211415.647,550572.728,,,,,
69,127.129193, E,37.55461253, N,0.577 m,33.428 m,358.4697,,211415.628,550573.279,,,,,
70,127.1291929, E,37.55461773, N,0.564 m,34.005 m,358.7618,,211415.611,550573.856,,,,,
71,127.1291927, E,37.55462281, N,0.539 m,34.57 m,357.6641,,211415.598,550574.42,,,,,
72,127.1291925, E,37.55462766, N,0.532 m,35.109 m,357.2861,,211415.576,550574.959,,,,,
73,127.1291922, E,37.55463246, N,0.525 m,35.641 m,358.6643,,211415.55,550575.491,,,,,
74,127.129192, E,37.55463719, N,0.515 m,36.167 m,353.9377,,211415.537,550576.016,,,,,
75,127.1291914, E,37.55464181, N,0.555 m,36.682 m,353.0367,,211415.482,550576.528,,,,,
76,127.1291907, E,37.55464677, N,0.562 m,37.237 m,352.7898,,211415.414,550577.079,,,,,
77,127.1291899, E,37.5546518, N,0.556 m,37.8 m,352.705,,211415.342,550577.637,,,,,
78,127.1291891, E,37.55465677, N,0.551 m,38.355 m,347.8427,,211415.271,550578.188,,,,,
79,127.1291878, E,37.55466162, N,0.628 m,38.906 m,346.7372,,211415.154,550578.727,,,,,
80,127.1291861, E,37.55466713, N,0.609 m,39.534 m,343.3796,,211415.009,550579.338,,,,,
81,127.1291842, E,37.55467239, N,0.584 m,40.144 m,341.6439,,211414.834,550579.922,,,,,
82,127.1291821, E,37.55467739, N,0.625 m,40.728 m,339.1053,,211414.649,550580.476,,,,,
83,127.1291795, E,37.55468265, N,0.596 m,41.353 m,338.5378,,211414.426,550581.06,,,,,
84,127.1291771, E,37.55468765, N,0.604 m,41.95 m,336.8196,,211414.207,550581.614,,,,,
85,127.1291744, E,37.55469265, N,0.531 m,42.553 m,325.4528,,211413.968,550582.169,,,,,
86,127.129171, E,37.55469659, N,0.57 m,43.084 m,330.0103,,211413.667,550582.606,,,,,
87,127.1291678, E,37.55470103, N,0.602 m,43.654 m,329.6446,,211413.381,550583.099,,,,,
88,127.1291643, E,37.55470571, N,0.583 m,44.256 m,324.356,,211413.076,550583.618,,,,,
