Idx,Longitude,,Latitude,,Length,Total Length,Heading,,X (View Proj),Y (View Proj),,,차량종류,색상,Label
1,127.1292291, E,37.55456893, N,0.062 m,---,16.4458,,211418.819,550568.444,,,car,은색,2-3
2,127.1292293, E,37.55456946, N,0.0682 m,0.062 m,18.8565,,211418.836,550568.504,,,,,
3,127.1292295, E,37.55457005, N,0.04529 m,0.1302 m,14.838,,211418.858,550568.568,,,,,
4,127.1292296, E,37.55457044, N,0.0568 m,0.1755 m,17.5288,,211418.87,550568.612,,,,,
5,127.1292298, E,37.55457093, N,0.0642 m,0.2323 m,10.7918,,211418.887,550568.666,,,,,
6,127.12923, E,37.5545715, N,0.132 m,0.2965 m,14.6529,,211418.898,550568.729,,,,,
7,127.1292304, E,37.55457265, N,0.114 m,0.4285 m,17.024,,211418.932,550568.857,,,,,
8,127.1292307, E,37.55457363, N,0.1699 m,0.543 m,13.418,,211418.965,550568.966,,,,,
9,127.1292312, E,37.55457512, N,0.1785 m,0.712 m,15.9396,,211419.004,550569.132,,,,,
10,127.1292317, E,37.55457667, N,0.173 m,0.891 m,15.5009,,211419.053,550569.303,,,,,
11,127.1292323, E,37.55457817, N,0.2078 m,1.064 m,14.4995,,211419.099,550569.47,,,,,
12,127.1292328, E,37.55457998, N,0.2532 m,1.272 m,12.537,,211419.151,550569.671,,,,,
13,127.1292335, E,37.55458221, N,0.226 m,1.525 m,14.8223,,211419.205,550569.919,,,,,
14,127.1292341, E,37.55458418, N,0.2845 m,1.751 m,14.115,,211419.263,550570.137,,,,,
15,127.1292349, E,37.55458666, N,0.2797 m,2.035 m,14.9722,,211419.332,550570.413,,,,,
16,127.1292357, E,37.5545891, N,0.3278 m,2.315 m,15.3338,,211419.404,550570.683,,,,,
17,127.1292367, E,37.55459195, N,0.3571 m,2.643 m,15.0101,,211419.49,550571,,,,,
18,127.1292377, E,37.55459505, N,0.312 m,3 m,16.6768,,211419.582,550571.345,,,,,
19,127.1292388, E,37.55459775, N,0.3445 m,3.312 m,18.7987,,211419.671,550571.644,,,,,
20,127.12924, E,37.55460068, N,0.4165 m,3.657 m,17.7631,,211419.782,550571.97,,,,,
21,127.1292415, E,37.55460426, N,0.4256 m,4.073 m,19.0033,,211419.908,550572.367,,,,,
22,127.129243, E,37.55460788, N,0.4038 m,4.499 m,17.4814,,211420.046,550572.769,,,,,
23,127.1292444, E,37.55461135, N,0.3921 m,4.903 m,23.6392,,211420.167,550573.155,,,,,
24,127.1292462, E,37.55461459, N,0.4476 m,5.295 m,23.8756,,211420.324,550573.514,,,,,
25,127.1292482, E,37.55461828, N,0.4187 m,5.742 m,16.0241,,211420.504,550573.924,,,,,
26,127.1292495, E,37.5546219, N,0.4699 m,6.161 m,21.6197,,211420.619,550574.326,,,,,
27,127.1292515, E,37.55462584, N,0.4089 m,6.631 m,15.483,,211420.792,550574.763,,,,,
28,127.1292527, E,37.55462939, N,0.4736 m,7.04 m,14.0025,,211420.901,550575.158,,,,,
29,127.129254, E,37.55463353, N,0.4258 m,7.513 m,20.6347,,211421.014,550575.617,,,,,
30,127.1292557, E,37.55463712, N,0.4299 m,7.939 m,17.4632,,211421.164,550576.016,,,,,
31,127.1292572, E,37.55464082, N,0.4187 m,8.369 m,16.0241,,211421.292,550576.426,,,,,
32,127.1292585, E,37.55464444, N,0.4595 m,8.788 m,18.0601,,211421.407,550576.829,,,,,
33,127.1292601, E,37.55464838, N,0.4018 m,9.247 m,15.5736,,211421.549,550577.266,,,,,
34,127.1292613, E,37.55465186, N,0.4714 m,9.649 m,19.4234,,211421.657,550577.653,,,,,
35,127.1292631, E,37.55465587, N,0.4728 m,10.12 m,18.5137,,211421.813,550578.098,,,,,
36,127.1292648, E,37.55465991, N,0.4671 m,10.593 m,16.2825,,211421.962,550578.546,,,,,
37,127.1292663, E,37.55466395, N,0.4668 m,11.06 m,14.3432,,211422.093,550578.995,,,,,
38,127.1292676, E,37.55466802, N,0.4741 m,11.527 m,17.488,,211422.208,550579.447,,,,,
39,127.1292692, E,37.5546721, N,0.491 m,12.001 m,14.549,,211422.35,550579.9,,,,,
40,127.1292706, E,37.55467638, N,0.4888 m,12.492 m,16.9502,,211422.472,550580.375,,,,,
41,127.1292722, E,37.55468059, N,0.4603 m,12.981 m,15.0409,,211422.614,550580.843,,,,,
42,127.1292736, E,37.5546846, N,0.4782 m,13.441 m,15.8979,,211422.733,550581.288,,,,,
43,127.129275, E,37.55468874, N,0.551 m,13.919 m,14.9845,,211422.863,550581.748,,,,,
44,127.1292767, E,37.55469354, N,0.4771 m,14.471 m,15.455,,211423.005,550582.281,,,,,
45,127.1292781, E,37.55469769, N,0.4783 m,14.948 m,18.2958,,211423.132,550582.741,,,,,
46,127.1292798, E,37.55470178, N,0.4784 m,15.426 m,17.0858,,211423.281,550583.195,,,,,
47,127.1292814, E,37.5547059, N,0.51 m,15.905 m,16.9704,,211423.421,550583.653,,,,,
48,127.1292831, E,37.55471029, N,0.522 m,16.415 m,14.2511,,211423.569,550584.141,,,,,
49,127.1292845, E,37.55471485, N,0.568 m,16.937 m,18.4322,,211423.697,550584.647,,,,,
50,127.1292866, E,37.55471971, N,0.525 m,17.505 m,19.3951,,211423.876,550585.186,,,,,
51,127.1292885, E,37.55472417, N,0.551 m,18.031 m,13.3421,,211424.05,550585.682,,,,,
52,127.12929, E,37.55472901, N,0.561 m,18.582 m,17.9216,,211424.176,550586.219,,,,,
53,127.1292919, E,37.55473382, N,0.517 m,19.143 m,16.9001,,211424.348,550586.753,,,,,
54,127.1292936, E,37.55473828, N,0.566 m,19.66 m,17.2243,,211424.498,550587.248,,,,,
55,127.1292955, E,37.55474314, N,0.548 m,20.226 m,17.1815,,211424.665,550587.788,,,,,
56,127.1292974, E,37.55474786, N,0.598 m,20.773 m,19.7326,,211424.826,550588.312,,,,,
57,127.1292996, E,37.55475293, N,0.552 m,21.372 m,14.549,,211425.027,550588.875,,,,,
58,127.1293012, E,37.55475775, N,0.568 m,21.924 m,13.5519,,211425.165,550589.41,,,,,
59,127.1293027, E,37.55476272, N,0.603 m,22.492 m,15.0284,,211425.297,550589.962,,,,,
60,127.1293045, E,37.55476797, N,0.3863 m,23.095 m,19.3245,,211425.453,550590.544,,,,,
61,127.1293059, E,37.55477125, N,0.594 m,23.481 m,18.1239,,211425.58,550590.909,,,,,
62,127.129308, E,37.55477634, N,0.578 m,24.075 m,16.5112,,211425.764,550591.474,,,,,
63,127.1293099, E,37.55478133, N,0.603 m,24.653 m,20.6632,,211425.928,550592.029,,,,,
64,127.1293123, E,37.55478642, N,0.585 m,25.257 m,13.2047,,211426.14,550592.593,,,,,
65,127.1293138, E,37.55479156, N,0.602 m,25.842 m,15.974,,211426.273,550593.163,,,,,
66,127.1293157, E,37.55479677, N,0.638 m,26.444 m,16.1187,,211426.438,550593.742,,,,,
67,127.1293177, E,37.55480229, N,0.598 m,27.082 m,16.0746,,211426.614,550594.356,,,,,
68,127.1293196, E,37.55480747, N,0.793 m,27.68 m,14.1976,,211426.779,550594.931,,,,,
69,127.1293218, E,37.5548144, N,0.578 m,28.473 m,15.6716,,211426.972,550595.7,,,,,
70,127.1293235, E,37.55481941, N,0.606 m,29.051 m,20.0618,,211427.128,550596.256,,,,,
71,127.1293259, E,37.55482454, N,0.631 m,29.657 m,15.54,,211427.335,550596.826,,,,,
72,127.1293278, E,37.55483002, N,0.589 m,30.288 m,19.3094,,211427.503,550597.434,,,,,
73,127.12933, E,37.55483503, N,0.617 m,30.877 m,16.7396,,211427.697,550597.99,,,,,
74,127.129332, E,37.55484035, N,0.582 m,31.494 m,15.5574,,211427.874,550598.581,,,,,
75,127.1293338, E,37.5548454, N,0.688 m,32.076 m,17.6043,,211428.029,550599.142,,,,,
76,127.1293361, E,37.5548513, N,0.595 m,32.763 m,19.5649,,211428.236,550599.797,,,,,
77,127.1293384, E,37.55485635, N,0.578 m,33.358 m,17.4328,,211428.434,550600.358,,,,,
78,127.1293403, E,37.55486132, N,0.641 m,33.936 m,17.2948,,211428.607,550600.91,,,,,
79,127.1293425, E,37.55486684, N,0.683 m,34.578 m,16.2231,,211428.797,550601.523,,,,,
80,127.1293447, E,37.55487275, N,0.63 m,35.26 m,19.2578,,211428.987,550602.178,,,,,
81,127.129347, E,37.55487811, N,0.627 m,35.89 m,18.5137,,211429.194,550602.774,,,,,
