Idx,Longitude,,Latitude,,Length,Total Length,Heading,,X (View Proj),Y (View Proj),,,차량종류,색상,Label
1,127.1292265, E,37.55457503, N,0.03131 m,---,14.1758,,211418.589,550569.122,,,car,검정색, 2-3
2,127.1292266, E,37.55457531, N,0.01986 m,0.03131 m,14.5558,,211418.597,550569.152,,,,,
3,127.1292266, E,37.55457548, N,0.0221 m,0.0512 m,14.8755,,211418.602,550569.171,,,,,
4,127.1292267, E,37.55457567, N,0.00965 m,0.0733 m,15.3816,,211418.608,550569.192,,,,,
5,127.1292267, E,37.55457576, N,0.02816 m,0.0829 m,10.7808,,211418.61,550569.202,,,,,
6,127.1292268, E,37.55457601, N,0.0564 m,0.1111 m,13.0532,,211418.615,550569.229,,,,,
7,127.1292269, E,37.5545765, N,0.0555 m,0.1675 m,17.1814,,211418.628,550569.284,,,,,
8,127.1292271, E,37.55457698, N,0.0533 m,0.223 m,14.6175,,211418.644,550569.337,,,,,
9,127.1292273, E,37.55457744, N,0.0679 m,0.2763 m,13.7437,,211418.658,550569.389,,,,,
10,127.1292274, E,37.55457804, N,0.0969 m,0.3442 m,13.9524,,211418.674,550569.455,,,,,
11,127.1292277, E,37.55457889, N,0.103 m,0.4411 m,15.5218,,211418.697,550569.549,,,,,
12,127.129228, E,37.55457978, N,0.1248 m,0.544 m,15.166,,211418.725,550569.649,,,,,
13,127.1292284, E,37.55458087, N,0.1692 m,0.669 m,13.1089,,211418.757,550569.769,,,,,
14,127.1292288, E,37.55458235, N,0.1461 m,0.838 m,12.1735,,211418.795,550569.934,,,,,
15,127.1292292, E,37.55458364, N,0.1796 m,0.984 m,15.0626,,211418.826,550570.077,,,,,
16,127.1292297, E,37.5545852, N,0.1814 m,1.164 m,11.9259,,211418.872,550570.25,,,,,
17,127.1292301, E,37.5545868, N,0.1483 m,1.345 m,13.7086,,211418.909,550570.428,,,,,
18,127.1292305, E,37.5545881, N,0.164 m,1.494 m,16.2231,,211418.944,550570.572,,,,,
19,127.129231, E,37.55458952, N,0.2437 m,1.658 m,14.7938,,211418.99,550570.729,,,,,
20,127.1292317, E,37.55459164, N,0.2463 m,1.901 m,14.2301,,211419.052,550570.965,,,,,
21,127.1292324, E,37.55459379, N,0.2564 m,2.148 m,12.6632,,211419.112,550571.204,,,,,
