Idx,Longitude,,Latitude,,Length,Total Length,Heading,,X (View Proj),Y (View Proj),,,차량종류,색상,Label
1,127.1291485, E,37.5544449, N,0.02826 m,---,11.5819,,211411.723,550554.669,,,truck,흰색,2-1
2,127.1291486, E,37.55444515, N,0.01921 m,0.02826 m,12.2745,,211411.729,550554.697,,,,,
3,127.1291487, E,37.55444532, N,0.02004 m,0.04748 m,16.2223,,211411.733,550554.716,,,,,
4,127.1291487, E,37.5544455, N,0.0551 m,0.0675 m,13.1353,,211411.738,550554.735,,,,,
5,127.1291489, E,37.55444598, N,0.0593 m,0.1226 m,12.1134,,211411.751,550554.789,,,,,
6,127.129149, E,37.5544465, N,0.06 m,0.1819 m,15.4821,,211411.763,550554.847,,,,,
7,127.1291492, E,37.55444702, N,0.0931 m,0.2418 m,14.428,,211411.779,550554.904,,,,,
8,127.1291494, E,37.55444783, N,0.1188 m,0.3349 m,13.8695,,211411.802,550554.995,,,,,
9,127.1291498, E,37.55444887, N,0.1231 m,0.4537 m,18.7038,,211411.83,550555.11,,,,,
10,127.1291502, E,37.55444992, N,0.1364 m,0.577 m,17.5213,,211411.87,550555.227,,,,,
11,127.1291507, E,37.5544511, N,0.1692 m,0.713 m,23.0673,,211411.911,550555.357,,,,,
12,127.1291514, E,37.5544525, N,0.1591 m,0.882 m,23.3888,,211411.977,550555.512,,,,,
13,127.1291521, E,37.55445381, N,0.2037 m,1.041 m,13.4712,,211412.04,550555.659,,,,,
14,127.1291527, E,37.5544556, N,0.2158 m,1.245 m,15.938,,211412.087,550555.857,,,,,
15,127.1291534, E,37.55445747, N,0.2175 m,1.461 m,15.1702,,211412.146,550556.064,,,,,
16,127.129154, E,37.55445936, N,0.2397 m,1.679 m,20.8327,,211412.202,550556.274,,,,,
17,127.129155, E,37.55446138, N,0.2477 m,1.918 m,17.8233,,211412.287,550556.499,,,,,
18,127.1291558, E,37.5544635, N,0.2731 m,2.166 m,20.1661,,211412.363,550556.734,,,,,
19,127.1291569, E,37.55446581, N,0.244 m,2.439 m,18.6888,,211412.457,550556.991,,,,,
20,127.1291578, E,37.5544679, N,0.3069 m,2.683 m,16.1451,,211412.535,550557.222,,,,,
21,127.1291587, E,37.55447055, N,0.3059 m,2.99 m,18.5136,,211412.619,550557.517,,,,,
22,127.1291598, E,37.55447317, N,0.3119 m,3.296 m,17.6912,,211412.716,550557.807,,,,,
23,127.1291609, E,37.55447584, N,0.3232 m,3.608 m,17.0584,,211412.811,550558.105,,,,,
24,127.129162, E,37.55447863, N,0.3704 m,3.931 m,15.9739,,211412.905,550558.414,,,,,
25,127.1291631, E,37.55448184, N,0.3508 m,4.301 m,14.4888,,211413.006,550558.77,,,,,
26,127.1291641, E,37.5544849, N,0.3641 m,4.652 m,22.1558,,211413.094,550559.11,,,,,
27,127.1291657, E,37.55448793, N,0.3887 m,5.016 m,16.9649,,211413.231,550559.447,,,,,
28,127.129167, E,37.55449128, N,0.3828 m,5.405 m,17.2852,,211413.343,550559.819,,,,,
29,127.1291683, E,37.55449458, N,0.4369 m,5.788 m,12.2383,,211413.457,550560.185,,,,,
30,127.1291693, E,37.55449842, N,0.4074 m,6.225 m,15.141,,211413.549,550560.612,,,,,
31,127.1291705, E,37.55450197, N,0.4585 m,6.632 m,10.4055,,211413.655,550561.005,,,,,
32,127.1291714, E,37.55450603, N,0.4251 m,7.091 m,19.9089,,211413.737,550561.456,,,,,
33,127.1291731, E,37.55450963, N,0.4431 m,7.516 m,21.0231,,211413.881,550561.856,,,,,
34,127.1291749, E,37.55451336, N,0.4456 m,7.959 m,17.2223,,211414.039,550562.27,,,,,
35,127.1291764, E,37.55451719, N,0.4739 m,8.404 m,14.3455,,211414.171,550562.696,,,,,
36,127.1291777, E,37.55452133, N,0.4423 m,8.878 m,13.7072,,211414.288,550563.155,,,,,
37,127.1291789, E,37.5545252, N,0.4843 m,9.32 m,13.2686,,211414.392,550563.585,,,,,
38,127.1291801, E,37.55452945, N,0.4933 m,9.805 m,15.0454,,211414.502,550564.056,,,,,
39,127.1291816, E,37.55453374, N,0.522 m,10.298 m,13.9267,,211414.63,550564.533,,,,,
40,127.129183, E,37.55453831, N,0.508 m,10.821 m,14.6919,,211414.755,550565.04,,,,,
