Idx,Longitude,,Latitude,,Length,Total Length,Heading,,X (View Proj),Y (View Proj),,,차량종류,색상,Label
1,127.1291744, E,37.55451703, N,0.04078 m,---,13.3948,,211413.999,550562.677,,,truck,녹색, 2-3
2,127.1291745, E,37.55451739, N,0.03525 m,0.04078 m,12.3867,,211414.008,550562.717,,,,,
3,127.1291746, E,37.5545177, N,0.0409 m,0.076 m,11.5607,,211414.016,550562.751,,,,,
4,127.1291747, E,37.55451806, N,0.04219 m,0.1169 m,11.6936,,211414.024,550562.791,,,,,
5,127.1291748, E,37.55451843, N,0.04293 m,0.1591 m,13.5744,,211414.032,550562.833,,,,,
6,127.1291749, E,37.55451881, N,0.04314 m,0.202 m,14.6529,,211414.042,550562.875,,,,,
7,127.129175, E,37.55451918, N,0.04097 m,0.2452 m,15.7434,,211414.053,550562.916,,,,,
8,127.1291752, E,37.55451954, N,0.04359 m,0.2862 m,16.7779,,211414.064,550562.956,,,,,
9,127.1291753, E,37.55451991, N,0.04279 m,0.3297 m,17.0992,,211414.077,550562.997,,,,,
10,127.1291755, E,37.55452028, N,0.0867 m,0.3725 m,13.5127,,211414.089,550563.038,,,,,
11,127.1291757, E,37.55452104, N,0.1267 m,0.4592 m,15.5573,,211414.109,550563.123,,,,,
12,127.1291761, E,37.55452214, N,0.1274 m,0.586 m,13.295,,211414.143,550563.245,,,,,
13,127.1291764, E,37.55452326, N,0.1242 m,0.713 m,17.6912,,211414.172,550563.369,,,,,
14,127.1291768, E,37.55452432, N,0.1714 m,0.837 m,14.9781,,211414.21,550563.487,,,,,
15,127.1291773, E,37.55452581, N,0.1711 m,1.009 m,17.3201,,211414.254,550563.653,,,,,
16,127.1291779, E,37.55452729, N,0.2122 m,1.18 m,17.0695,,211414.305,550563.816,,,,,
17,127.1291786, E,37.55452911, N,0.1727 m,1.392 m,16.8376,,211414.367,550564.019,,,,,
18,127.1291792, E,37.5545306, N,0.1643 m,1.565 m,16.2445,,211414.416,550564.184,,,,,
19,127.1291797, E,37.55453202, N,0.2192 m,1.729 m,19.2123,,211414.462,550564.342,,,,,
20,127.1291805, E,37.55453389, N,0.2113 m,1.948 m,19.9638,,211414.534,550564.549,,,,,
21,127.1291813, E,37.55453568, N,0.2514 m,2.16 m,16.6856,,211414.606,550564.748,,,,,
22,127.1291821, E,37.55453785, N,0.2655 m,2.411 m,13.8937,,211414.678,550564.989,,,,,
23,127.1291829, E,37.55454017, N,0.2143 m,2.677 m,14.9373,,211414.741,550565.247,,,,,
24,127.1291835, E,37.55454204, N,0.2474 m,2.891 m,16.9655,,211414.796,550565.454,,,,,
