Idx,Longitude,,Latitude,,Length,Total Length,Heading,,X (View Proj),Y (View Proj),,,차량종류,색상,Label
1,127.1292262, E,37.55457829, N,0.04552 m,---,15.3338,,211418.563,550569.483,,,car,검정색, 2-3
2,127.1292263, E,37.55457869, N,0.04865 m,0.04552 m,12.9075,,211418.575,550569.527,,,,,
3,127.1292264, E,37.55457912, N,0.0547 m,0.0942 m,16.0241,,211418.586,550569.575,,,,,
4,127.1292266, E,37.55457959, N,0.03873 m,0.1489 m,14.1149,,211418.601,550569.627,,,,,
5,127.1292267, E,37.55457993, N,0.0624 m,0.1876 m,15.7873,,211418.61,550569.665,,,,,
6,127.1292269, E,37.55458047, N,0.1745 m,0.25 m,14.4141,,211418.627,550569.725,,,,,
7,127.1292274, E,37.55458199, N,0.1234 m,0.4246 m,13.9562,,211418.67,550569.894,,,,,
8,127.1292277, E,37.55458307, N,0.1374 m,0.548 m,15.5399,,211418.7,550570.014,,,,,
9,127.1292282, E,37.55458427, N,0.2064 m,0.685 m,14.3047,,211418.736,550570.146,,,,,
10,127.1292287, E,37.55458607, N,0.1746 m,0.892 m,14.5634,,211418.787,550570.346,,,,,
11,127.1292292, E,37.55458759, N,0.2153 m,1.066 m,14.4787,,211418.831,550570.515,,,,,
12,127.1292298, E,37.55458947, N,0.2164 m,1.282 m,12.4861,,211418.884,550570.724,,,,,
13,127.1292304, E,37.55459137, N,0.2064 m,1.498 m,14.3047,,211418.931,550570.935,,,,,
14,127.1292309, E,37.55459317, N,0.2598 m,1.704 m,12.6075,,211418.981,550571.135,,,,,
15,127.1292316, E,37.55459546, N,0.2935 m,1.964 m,14.2484,,211419.038,550571.389,,,,,
16,127.1292324, E,37.55459802, N,0.2632 m,2.258 m,15.6028,,211419.11,550571.674,,,,,
17,127.1292332, E,37.55460031, N,0.2977 m,2.521 m,12.9311,,211419.18,550571.927,,,,,
18,127.129234, E,37.55460292, N,0.3051 m,2.819 m,12.907,,211419.246,550572.217,,,,,
19,127.1292347, E,37.5546056, N,0.3398 m,3.124 m,14.115,,211419.314,550572.515,,,,,
