Idx,Longitude,,Latitude,,Length,Total Length,Heading,,X (View Proj),Y (View Proj),,,차량종류,색상,Label
1,127.129094, E,37.55428948, N,0.515 m,---,16.1694,,211406.923,550537.412,,,car,은색, 2-3
2,127.1290956, E,37.55429393, N,0.51 m,0.515 m,14.1149,,211407.065,550537.906,,,,,
3,127.129097, E,37.55429838, N,0.4834 m,1.024 m,16.8498,,211407.189,550538.401,,,,,
4,127.1290986, E,37.55430255, N,0.489 m,1.508 m,13.5744,,211407.328,550538.864,,,,,
5,127.1290999, E,37.55430684, N,0.4355 m,1.997 m,16.1386,,211407.442,550539.339,,,,,
6,127.1291012, E,37.5543106, N,0.558 m,2.432 m,15.2196,,211407.563,550539.758,,,,,
7,127.1291029, E,37.55431546, N,0.4138 m,2.991 m,18.0104,,211407.709,550540.297,,,,,
8,127.1291043, E,37.554319, N,0.489 m,3.404 m,13.5744,,211407.836,550540.69,,,,,
9,127.1291056, E,37.55432329, N,0.4722 m,3.894 m,18.8785,,211407.95,550541.166,,,,,
10,127.1291074, E,37.55432731, N,0.4999 m,4.366 m,15.5249,,211408.102,550541.613,,,,,
11,127.1291089, E,37.55433165, N,0.52 m,4.866 m,15.6401,,211408.236,550542.095,,,,,
12,127.1291105, E,37.55433616, N,0.4676 m,5.386 m,12.6074,,211408.375,550542.596,,,,,
13,127.1291116, E,37.55434028, N,0.501 m,5.853 m,13.2362,,211408.477,550543.052,,,,,
14,127.1291129, E,37.55434467, N,0.4905 m,6.355 m,14.2945,,211408.591,550543.54,,,,,
15,127.1291143, E,37.55434896, N,0.503 m,6.845 m,19.1983,,211408.711,550544.016,,,,,
16,127.1291162, E,37.55435324, N,0.502 m,7.348 m,16.223,,211408.876,550544.492,,,,,
17,127.1291178, E,37.55435758, N,0.4905 m,7.85 m,14.2945,,211409.015,550544.973,,,,,
18,127.1291191, E,37.55436186, N,0.531 m,8.341 m,14.6131,,211409.136,550545.449,,,,,
19,127.1291206, E,37.55436649, N,0.529 m,8.871 m,18.9476,,211409.269,550545.962,,,,,
20,127.1291226, E,37.554371, N,0.518 m,9.4 m,14.9649,,211409.44,550546.463,,,,,
21,127.1291241, E,37.55437551, N,0.523 m,9.919 m,16.9773,,211409.573,550546.964,,,,,
22,127.1291258, E,37.55438002, N,0.4553 m,10.442 m,12.9536,,211409.726,550547.465,,,,,
23,127.129127, E,37.55438402, N,0.4932 m,10.898 m,18.0478,,211409.827,550547.909,,,,,
24,127.1291287, E,37.55438824, N,0.488 m,11.391 m,10.9673,,211409.979,550548.378,,,,,
25,127.1291298, E,37.55439256, N,0.4912 m,11.879 m,15.55,,211410.071,550548.857,,,,,
26,127.1291313, E,37.55439682, N,0.548 m,12.37 m,15.295,,211410.202,550549.331,,,,,
27,127.1291329, E,37.55440158, N,0.53 m,12.918 m,11.1196,,211410.346,550549.859,,,,,
28,127.129134, E,37.55440627, N,0.536 m,13.447 m,17.5135,,211410.448,550550.379,,,,,
29,127.1291359, E,37.55441087, N,0.4986 m,13.983 m,18.36,,211410.608,550550.89,,,,,
30,127.1291377, E,37.55441514, N,0.556 m,14.482 m,11.474,,211410.765,550551.364,,,,,
31,127.1291389, E,37.55442005, N,0.4946 m,15.038 m,18.5136,,211410.875,550551.909,,,,,
