Idx,Longitude,,Latitude,,Length,Total Length,Heading,,X (View Proj),Y (View Proj),,,차량종류,색상,Label
1,127.1292054, E,37.55461276, N,0.04644 m,---,13.4847,,211416.724,550573.306,,,car,흰색,2-3
2,127.1292056, E,37.55461317, N,0.04453 m,0.04644 m,12.4159,,211416.735,550573.351,,,,,
3,127.1292057, E,37.55461356, N,0.04617 m,0.091 m,17.2412,,211416.744,550573.395,,,,,
4,127.1292058, E,37.55461396, N,0.0674 m,0.1371 m,16.223,,211416.758,550573.439,,,,,
5,127.129206, E,37.55461454, N,0.1292 m,0.2045 m,15.7646,,211416.776,550573.504,,,,,
6,127.1292064, E,37.55461566, N,0.1336 m,0.3337 m,14.5468,,211416.811,550573.628,,,,,
7,127.1292068, E,37.55461682, N,0.1311 m,0.4674 m,15.3338,,211416.845,550573.757,,,,,
8,127.1292072, E,37.55461796, N,0.1297 m,0.599 m,12.883,,211416.879,550573.884,,,,,
9,127.1292075, E,37.5546191, N,0.173 m,0.728 m,15.5009,,211416.908,550574.01,,,,,
10,127.1292081, E,37.55462061, N,0.1675 m,0.901 m,16.0241,,211416.954,550574.177,,,,,
11,127.1292086, E,37.55462206, N,0.2197 m,1.069 m,14.4787,,211417,550574.338,,,,,
12,127.1292092, E,37.55462397, N,0.226 m,1.288 m,14.8223,,211417.055,550574.551,,,,,
13,127.1292099, E,37.55462594, N,0.2441 m,1.514 m,15.0971,,211417.112,550574.77,,,,,
14,127.1292106, E,37.55462806, N,0.3063 m,1.759 m,12.5492,,211417.175,550575.005,,,,,
15,127.1292113, E,37.55463076, N,0.2483 m,2.065 m,13.4712,,211417.242,550575.304,,,,,
16,127.129212, E,37.55463293, N,0.306 m,2.313 m,11.1358,,211417.299,550575.546,,,,,
17,127.1292126, E,37.55463564, N,0.3655 m,2.619 m,12.8031,,211417.358,550575.846,,,,,
18,127.1292136, E,37.55463885, N,0.3564 m,2.985 m,14.5634,,211417.438,550576.203,,,,,
19,127.1292146, E,37.55464196, N,0.3547 m,3.341 m,17.0448,,211417.527,550576.548,,,,,
20,127.1292158, E,37.55464501, N,0.3366 m,3.696 m,24.0201,,211417.631,550576.887,,,,,
21,127.1292173, E,37.55464778, N,0.4077 m,4.032 m,20.8619,,211417.767,550577.195,,,,,
22,127.1292189, E,37.55465122, N,0.4165 m,4.44 m,17.7631,,211417.912,550577.576,,,,,
23,127.1292204, E,37.55465479, N,0.4313 m,4.857 m,16.3389,,211418.039,550577.973,,,,,
24,127.1292218, E,37.55465852, N,0.4638 m,5.288 m,17.3903,,211418.159,550578.387,,,,,
25,127.1292233, E,37.55466251, N,0.52 m,5.752 m,18.113,,211418.297,550578.83,,,,,
26,127.1292252, E,37.55466696, N,0.4724 m,6.272 m,15.9762,,211418.458,550579.324,,,,,
27,127.1292266, E,37.55467105, N,0.524 m,6.744 m,19.3094,,211418.588,550579.779,,,,,
28,127.1292286, E,37.55467551, N,0.538 m,7.268 m,13.6697,,211418.76,550580.273,,,,,
29,127.12923, E,37.55468022, N,0.561 m,7.806 m,21.1162,,211418.887,550580.796,,,,,
30,127.1292323, E,37.55468493, N,0.56 m,8.367 m,15.2564,,211419.088,550581.32,,,,,
31,127.129234, E,37.5546898, N,0.568 m,8.927 m,17.7465,,211419.235,550581.86,,,,,
32,127.1292359, E,37.55469468, N,0.594 m,9.495 m,21.8029,,211419.407,550582.402,,,,,
33,127.1292384, E,37.55469965, N,0.625 m,10.09 m,20.2645,,211419.627,550582.954,,,,,
34,127.1292409, E,37.55470493, N,0.628 m,10.715 m,17.9332,,211419.843,550583.54,,,,,
35,127.1292431, E,37.55471032, N,0.602 m,11.343 m,19.0329,,211420.036,550584.138,,,,,
36,127.1292453, E,37.55471545, N,0.702 m,11.945 m,22.2289,,211420.231,550584.708,,,,,
37,127.1292483, E,37.5547213, N,0.687 m,12.647 m,21.7019,,211420.496,550585.358,,,,,
38,127.1292512, E,37.55472705, N,0.637 m,13.333 m,20.1502,,211420.749,550585.996,,,,,
39,127.1292537, E,37.55473243, N,0.694 m,13.97 m,21.9683,,211420.967,550586.594,,,,,
40,127.1292566, E,37.55473823, N,0.739 m,14.664 m,21.0522,,211421.226,550587.238,,,,,
41,127.1292596, E,37.55474445, N,0.717 m,15.403 m,22.7339,,211421.491,550587.928,,,,,
42,127.1292627, E,37.5547504, N,0.745 m,16.12 m,23.2773,,211421.767,550588.59,,,,,
43,127.1292661, E,37.55475656, N,0.733 m,16.864 m,22.2142,,211422.06,550589.274,,,,,
44,127.1292692, E,37.55476267, N,0.729 m,17.597 m,23.8116,,211422.336,550589.953,,,,,
45,127.1292725, E,37.55476868, N,0.742 m,18.326 m,22.8693,,211422.629,550590.62,,,,,
46,127.1292758, E,37.55477484, N,0.752 m,19.068 m,23.5074,,211422.917,550591.304,,,,,
47,127.1292792, E,37.55478106, N,0.754 m,19.82 m,24.8844,,211423.216,550591.994,,,,,
48,127.1292828, E,37.55478722, N,0.763 m,20.574 m,23.1638,,211423.532,550592.679,,,,,
49,127.1292862, E,37.55479354, N,0.773 m,21.337 m,27.3695,,211423.831,550593.38,,,,,
50,127.1292902, E,37.55479973, N,0.735 m,22.11 m,20.215,,211424.186,550594.067,,,,,
51,127.1292931, E,37.55480594, N,0.804 m,22.845 m,22.7931,,211424.439,550594.758,,,,,
52,127.1292966, E,37.55481262, N,0.79 m,23.649 m,25.5241,,211424.749,550595.499,,,,,
53,127.1293005, E,37.55481904, N,0.782 m,24.439 m,25.3247,,211425.089,550596.213,,,,,
54,127.1293042, E,37.55482541, N,0.77 m,25.221 m,23.3897,,211425.422,550596.92,,,,,
55,127.1293077, E,37.55483178, N,0.809 m,25.991 m,23.5448,,211425.727,550597.627,,,,,
56,127.1293114, E,37.55483846, N,0.783 m,26.8 m,23.4431,,211426.049,550598.369,,,,,
