Idx,Longitude,,Latitude,,Length,Total Length,Heading,,X (View Proj),Y (View Proj),,,차량종류,색상,Label
1,127.1290898, E,37.55428424, N,0.4762 m,---,18.5136,,211406.558,550536.83,,,car,은색, 2-1
2,127.1290915, E,37.55428831, N,0.4233 m,0.4762 m,18.5136,,211406.708,550537.282,,,,,
3,127.129093, E,37.55429192, N,0.562 m,0.9 m,14.7354,,211406.842,550537.683,,,,,
4,127.1290947, E,37.55429682, N,0.4931 m,1.462 m,14.8222,,211406.984,550538.227,,,,,
5,127.1290961, E,37.55430112, N,0.538 m,1.955 m,15.4119,,211407.11,550538.704,,,,,
6,127.1290977, E,37.55430579, N,0.505 m,2.493 m,19.4134,,211407.252,550539.223,,,,,
7,127.1290996, E,37.55431008, N,0.541 m,2.998 m,16.693,,211407.419,550539.7,,,,,
8,127.1291014, E,37.55431475, N,0.508 m,3.539 m,17.3201,,211407.574,550540.218,,,,,
9,127.1291031, E,37.55431912, N,0.575 m,4.047 m,16.1386,,211407.725,550540.704,,,,,
10,127.1291049, E,37.5543241, N,0.54 m,4.622 m,16.2678,,211407.884,550541.256,,,,,
11,127.1291066, E,37.55432877, N,0.518 m,5.162 m,14.5634,,211408.034,550541.774,,,,,
12,127.1291081, E,37.55433329, N,0.595 m,5.681 m,13.9193,,211408.164,550542.276,,,,,
13,127.1291097, E,37.55433849, N,0.532 m,6.275 m,16.519,,211408.306,550542.854,,,,,
14,127.1291114, E,37.55434309, N,0.603 m,6.807 m,17.0061,,211408.457,550543.364,,,,,
15,127.1291134, E,37.55434829, N,0.592 m,7.411 m,16.0797,,211408.632,550543.941,,,,,
16,127.1291153, E,37.55435341, N,0.595 m,8.003 m,17.2405,,211408.796,550544.51,,,,,
17,127.1291173, E,37.55435853, N,0.609 m,8.598 m,18.5136,,211408.971,550545.079,,,,,
18,127.1291194, E,37.55436373, N,0.651 m,9.207 m,15.3661,,211409.164,550545.657,,,,,
19,127.1291214, E,37.55436938, N,0.625 m,9.857 m,16.0438,,211409.335,550546.284,,,,,
20,127.1291234, E,37.5543748, N,0.648 m,10.483 m,17.3444,,211409.507,550546.885,,,,,
21,127.1291255, E,37.55438038, N,0.64 m,11.131 m,17.5666,,211409.7,550547.505,,,,,
22,127.1291277, E,37.55438588, N,0.648 m,11.771 m,17.3444,,211409.892,550548.115,,,,,
23,127.1291299, E,37.55439145, N,0.2155 m,12.42 m,18.2516,,211410.085,550548.734,,,,,
