Idx,Longitude,,Latitude,,Length,Total Length,Heading,,X (View Proj),Y (View Proj),,,차량종류,색상,Label
1,127.1291941, E,37.55457939, N,0.02899 m,---,13.3334,,211415.723,550569.601,,,car,검정색,2-1
2,127.1291941, E,37.55457964, N,0.04723 m,0.02899 m,12.3435,,211415.73,550569.629,,,,,
3,127.1291942, E,37.55458006, N,0.0608 m,0.0762 m,13.4274,,211415.74,550569.675,,,,,
4,127.1291944, E,37.55458059, N,0.067 m,0.137 m,14.492,,211415.754,550569.734,,,,,
5,127.1291946, E,37.55458117, N,0.057 m,0.2041 m,12.2792,,211415.77,550569.799,,,,,
6,127.1291947, E,37.55458167, N,0.0846 m,0.261 m,13.8369,,211415.783,550569.855,,,,,
7,127.129195, E,37.55458242, N,0.0791 m,0.3456 m,14.1149,,211415.803,550569.937,,,,,
8,127.1291952, E,37.55458311, N,0.121 m,0.4248 m,8.6623,,211415.822,550570.014,,,,,
9,127.1291954, E,37.55458418, N,0.143 m,0.546 m,5.9693,,211415.84,550570.133,,,,,
10,127.1291955, E,37.55458547, N,0.1526 m,0.689 m,7.7294,,211415.855,550570.276,,,,,
11,127.1291958, E,37.55458683, N,0.1642 m,0.841 m,8.3759,,211415.875,550570.427,,,,,
12,127.1291961, E,37.55458829, N,0.1716 m,1.006 m,13.141,,211415.899,550570.589,,,,,
13,127.1291965, E,37.5545898, N,0.1953 m,1.177 m,6.3823,,211415.937,550570.756,,,,,
14,127.1291967, E,37.55459155, N,0.2494 m,1.372 m,5.5313,,211415.959,550570.951,,,,,
15,127.129197, E,37.55459378, N,0.2396 m,1.622 m,8.476,,211415.983,550571.199,,,,,
16,127.1291974, E,37.55459592, N,0.2147 m,1.861 m,8.8478,,211416.018,550571.436,,,,,
17,127.1291978, E,37.55459783, N,0.2757 m,2.076 m,7.8439,,211416.05,550571.648,,,,,
18,127.1291982, E,37.55460029, N,0.28 m,2.352 m,358.462,,211416.087,550571.921,,,,,
19,127.1291981, E,37.55460281, N,0.2734 m,2.632 m,2.6813,,211416.08,550572.201,,,,,
20,127.1291983, E,37.55460527, N,0.2935 m,2.905 m,358.977,,211416.092,550572.474,,,,,
21,127.1291982, E,37.55460792, N,0.2787 m,3.199 m,357.5288,,211416.086,550572.768,,,,,
22,127.1291981, E,37.55461043, N,0.3118 m,3.477 m,357.5892,,211416.074,550573.046,,,,,
23,127.1291979, E,37.55461323, N,0.3429 m,3.789 m,355.8319,,211416.06,550573.358,,,,,
24,127.1291976, E,37.55461631, N,0.3353 m,4.132 m,358.9214,,211416.035,550573.7,,,,,
25,127.1291976, E,37.55461933, N,0.3461 m,4.467 m,356.4325,,211416.028,550574.035,,,,,
