Idx,Longitude,,Latitude,,Length,Total Length,Heading,,X (View Proj),Y (View Proj),,,차량종류,색상,Label
1,127.1290948, E,37.554285, N,0.4652 m,---,15.2534,,211406.994,550536.916,,,car,회색, 2-3
2,127.1290961, E,37.55428905, N,0.4496 m,0.4652 m,14.6895,,211407.116,550537.365,,,,,
3,127.1290974, E,37.55429297, N,0.4592 m,0.915 m,15.5779,,211407.229,550537.8,,,,,
4,127.1290988, E,37.55429695, N,0.4634 m,1.374 m,17.3504,,211407.352,550538.242,,,,,
5,127.1291004, E,37.55430094, N,0.4664 m,1.837 m,16.9966,,211407.49,550538.685,,,,,
6,127.1291019, E,37.55430496, N,0.4889 m,2.304 m,11.0931,,211407.625,550539.131,,,,,
7,127.129103, E,37.55430928, N,0.4697 m,2.793 m,15.9306,,211407.719,550539.611,,,,,
8,127.1291045, E,37.55431335, N,0.472 m,3.262 m,16.9076,,211407.847,550540.063,,,,,
9,127.129106, E,37.55431742, N,0.4884 m,3.734 m,12.5542,,211407.984,550540.514,,,,,
10,127.1291072, E,37.55432171, N,0.4575 m,4.223 m,19.5445,,211408.089,550540.991,,,,,
11,127.1291089, E,37.5543256, N,0.4781 m,4.68 m,15.4119,,211408.242,550541.423,,,,,
12,127.1291104, E,37.55432975, N,0.4892 m,5.158 m,18.2381,,211408.368,550541.884,,,,,
13,127.1291121, E,37.55433394, N,0.4911 m,5.648 m,20.2285,,211408.521,550542.349,,,,,
14,127.129114, E,37.55433809, N,0.4905 m,6.139 m,12.1127,,211408.69,550542.81,,,,,
15,127.1291152, E,37.55434241, N,0.514 m,6.629 m,12.4051,,211408.792,550543.289,,,,,
16,127.1291165, E,37.55434693, N,0.566 m,7.143 m,17.8591,,211408.902,550543.791,,,,,
17,127.1291184, E,37.55435179, N,0.4828 m,7.709 m,17.3274,,211409.075,550544.331,,,,,
18,127.12912, E,37.55435594, N,0.571 m,8.192 m,12.3038,,211409.218,550544.792,,,,,
19,127.1291214, E,37.55436096, N,0.509 m,8.763 m,18.1824,,211409.339,550545.349,,,,,
20,127.1291232, E,37.55436532, N,0.567 m,9.271 m,18.2167,,211409.497,550545.833,,,,,
21,127.1291252, E,37.55437017, N,0.583 m,9.839 m,15.7983,,211409.673,550546.372,,,,,
22,127.129127, E,37.55437523, N,0.57 m,10.422 m,18.5722,,211409.831,550546.933,,,,,
23,127.1291291, E,37.55438009, N,0.58 m,10.991 m,20.3443,,211410.012,550547.474,,,,,
24,127.1291314, E,37.55438499, N,0.574 m,11.571 m,18.7776,,211410.213,550548.017,,,,,
25,127.1291334, E,37.55438989, N,0.6 m,12.145 m,20.9153,,211410.397,550548.561,,,,,
26,127.1291359, E,37.55439494, N,0.587 m,12.745 m,17.4813,,211410.61,550549.122,,,,,
27,127.1291379, E,37.55439998, N,0.646 m,13.333 m,16.6357,,211410.786,550549.682,,,,,
28,127.12914, E,37.55440556, N,0.593 m,13.978 m,16.4682,,211410.97,550550.301,,,,,
29,127.1291419, E,37.55441068, N,0.639 m,14.571 m,17.2089,,211411.137,550550.87,,,,,
30,127.129144, E,37.55441618, N,0.623 m,15.211 m,14.8614,,211411.326,550551.481,,,,,
31,127.1291458, E,37.55442161, N,0.622 m,15.834 m,14.4888,,211411.485,550552.084,,,,,
32,127.1291476, E,37.55442704, N,0.583 m,16.456 m,15.911,,211411.639,550552.686,,,,,
33,127.1291494, E,37.55443208, N,0.66 m,17.038 m,15.525,,211411.798,550553.246,,,,,
34,127.1291514, E,37.55443781, N,0.605 m,17.698 m,14.4994,,211411.974,550553.882,,,,,
35,127.1291531, E,37.55444309, N,0.63 m,18.303 m,17.0695,,211412.125,550554.468,,,,,
