Idx,Longitude,,Latitude,,Length,Total Length,Heading,,X (View Proj),Y (View Proj),,,차량종류,색상,Label
1,127.1292259, E,37.55456861, N,0.03066 m,---,12.7174,,211418.537,550568.408,,,car,흰색, 2-3
2,127.129226, E,37.55456888, N,0.02989 m,0.03066 m,11.9002,,211418.544,550568.438,,,,,
3,127.129226, E,37.55456914, N,0.0602 m,0.0605 m,16.1575,,211418.55,550568.467,,,,,
4,127.1292262, E,37.55456966, N,0.0628 m,0.1207 m,14.9893,,211418.567,550568.525,,,,,
5,127.1292264, E,37.55457021, N,0.0948 m,0.1836 m,3.6188,,211418.583,550568.586,,,,,
6,127.1292265, E,37.55457106, N,0.0576 m,0.2784 m,4.6527,,211418.589,550568.681,,,,,
7,127.1292265, E,37.55457158, N,0.0991 m,0.336 m,13.4712,,211418.594,550568.738,,,,,
8,127.1292268, E,37.55457245, N,0.1148 m,0.4351 m,16.3389,,211418.617,550568.834,,,,,
9,127.1292272, E,37.55457344, N,0.0984 m,0.55 m,11.5198,,211418.649,550568.945,,,,,
10,127.1292274, E,37.55457431, N,0.1179 m,0.648 m,6.7886,,211418.668,550569.041,,,,,
11,127.1292275, E,37.55457536, N,0.1285 m,0.766 m,18.8373,,211418.682,550569.158,,,,,
12,127.129228, E,37.55457646, N,0.13 m,0.895 m,17.5535,,211418.723,550569.28,,,,,
13,127.1292284, E,37.55457758, N,0.1183 m,1.025 m,14.115,,211418.762,550569.404,,,,,
14,127.1292288, E,37.55457861, N,0.1779 m,1.143 m,11.2436,,211418.791,550569.519,,,,,
15,127.1292292, E,37.55458018, N,0.188 m,1.321 m,15.3031,,211418.825,550569.693,,,,,
16,127.1292297, E,37.55458182, N,0.2175 m,1.509 m,18.2267,,211418.875,550569.875,,,,,
17,127.1292305, E,37.55458368, N,0.2691 m,1.726 m,17.1994,,211418.943,550570.081,,,,,
18,127.1292314, E,37.55458599, N,0.2509 m,1.995 m,14.115,,211419.022,550570.338,,,,,
19,127.1292321, E,37.55458818, N,0.2693 m,2.246 m,13.641,,211419.083,550570.582,,,,,
20,127.1292328, E,37.55459054, N,0.2722 m,2.516 m,15.9909,,211419.146,550570.844,,,,,
21,127.1292337, E,37.5545929, N,0.2667 m,2.788 m,15.6412,,211419.22,550571.105,,,,,
