Idx,Longitude,,Latitude,,Length,Total Length,Heading,,X (View Proj),Y (View Proj),,,차량종류,색상,Label
1,127.1291155, E,37.55435289, N,0.04523 m,---,15.125,,211408.813,550544.453,,,car,흰색, 2-1
2,127.1291156, E,37.55435328, N,0.0407 m,0.04523 m,17.5378,,211408.825,550544.496,,,,,
3,127.1291157, E,37.55435363, N,0.04199 m,0.0859 m,17.4327,,211408.837,550544.535,,,,,
4,127.1291159, E,37.55435399, N,0.04405 m,0.1279 m,14.9051,,211408.849,550544.575,,,,,
5,127.129116, E,37.55435438, N,0.04163 m,0.172 m,15.7873,,211408.861,550544.618,,,,,
6,127.1291161, E,37.55435474, N,0.04163 m,0.2136 m,21.2399,,211408.872,550544.658,,,,,
7,127.1291163, E,37.55435509, N,0.04405 m,0.2552 m,14.9051,,211408.887,550544.697,,,,,
8,127.1291164, E,37.55435547, N,0.04439 m,0.2993 m,16.4682,,211408.898,550544.739,,,,,
9,127.1291166, E,37.55435586, N,0.0583 m,0.3437 m,15.0101,,211408.911,550544.782,,,,,
10,127.1291167, E,37.55435636, N,0.0936 m,0.402 m,19.4682,,211408.926,550544.838,,,,,
11,127.1291171, E,37.55435716, N,0.0864 m,0.4956 m,19.1042,,211408.957,550544.927,,,,,
12,127.1291174, E,37.55435789, N,0.1363 m,0.582 m,18.1391,,211408.985,550545.008,,,,,
13,127.1291179, E,37.55435906, N,0.1305 m,0.718 m,15.9932,,211409.027,550545.138,,,,,
14,127.1291183, E,37.55436019, N,0.2154 m,0.849 m,18.6179,,211409.063,550545.264,,,,,
15,127.1291191, E,37.55436203, N,0.1784 m,1.064 m,15.6512,,211409.131,550545.468,,,,,
16,127.1291196, E,37.55436358, N,0.2158 m,1.243 m,16.3837,,211409.179,550545.64,,,,,
17,127.1291203, E,37.55436544, N,0.2184 m,1.458 m,14.6529,,211409.24,550545.847,,,,,
18,127.1291209, E,37.55436735, N,0.2648 m,1.677 m,16.7779,,211409.295,550546.058,,,,,
19,127.1291218, E,37.55436963, N,0.2166 m,1.942 m,17.0992,,211409.371,550546.312,,,,,
20,127.1291225, E,37.5543715, N,0.2677 m,2.158 m,15.6512,,211409.434,550546.519,,,,,
21,127.1291233, E,37.55437382, N,0.2573 m,2.426 m,17.7695,,211409.506,550546.777,,,,,
22,127.1291242, E,37.55437603, N,0.3077 m,2.683 m,16.024,,211409.584,550547.022,,,,,
23,127.1291252, E,37.55437869, N,0.3189 m,2.991 m,17.4327,,211409.669,550547.318,,,,,
24,127.1291263, E,37.55438143, N,0.4373 m,3.31 m,16.937,,211409.764,550547.622,,,,,
25,127.1291277, E,37.5543852, N,0.4145 m,3.747 m,13.8816,,211409.891,550548.04,,,,,
26,127.1291288, E,37.55438883, N,0.3353 m,4.162 m,15.4288,,211409.99,550548.443,,,,,
27,127.1291298, E,37.55439174, N,0.4494 m,4.497 m,16.4682,,211410.079,550548.766,,,,,
28,127.1291313, E,37.55439562, N,0.3998 m,4.946 m,14.776,,211410.205,550549.197,,,,,
29,127.1291324, E,37.55439911, N,0.4721 m,5.346 m,14.8614,,211410.307,550549.584,,,,,
30,127.1291338, E,37.55440322, N,0.4791 m,5.818 m,15.0345,,211410.427,550550.041,,,,,
31,127.1291352, E,37.55440739, N,0.4713 m,6.297 m,17.2947,,211410.551,550550.504,,,,,
32,127.1291368, E,37.55441144, N,0.4755 m,6.769 m,16.3388,,211410.69,550550.954,,,,,
33,127.1291383, E,37.55441555, N,0.513 m,7.244 m,18.066,,211410.824,550551.41,,,,,
34,127.1291401, E,37.55441995, N,0.4869 m,7.757 m,15.5628,,211410.982,550551.898,,,,,
35,127.1291416, E,37.55442417, N,0.4983 m,8.244 m,14.8222,,211411.112,550552.368,,,,,
36,127.129143, E,37.55442851, N,0.528 m,8.743 m,16.1623,,211411.239,550552.85,,,,,
37,127.1291447, E,37.55443308, N,0.534 m,9.27 m,15.9306,,211411.385,550553.357,,,,,
38,127.1291464, E,37.55443771, N,0.506 m,9.804 m,12.3739,,211411.531,550553.87,,,,,
39,127.1291476, E,37.55444216, N,0.522 m,10.31 m,16.311,,211411.639,550554.365,,,,,
40,127.1291492, E,37.55444667, N,0.552 m,10.832 m,15.3915,,211411.784,550554.866,,,,,
