Idx,Longitude,,Latitude,,Length,Total Length,Heading,,X (View Proj),Y (View Proj),,,차량종류,색상,Label
1,127.1291019, E,37.55431286, N,0.809 m,---,18.2957,,211407.625,550540.008,,,truck,흰색, 2-1
2,127.1291048, E,37.55431978, N,0.73 m,0.809 m,16.3388,,211407.878,550540.777,,,,,
3,127.1291071, E,37.55432609, N,0.775 m,1.539 m,17.6042,,211408.082,550541.477,,,,,
4,127.1291098, E,37.55433275, N,0.8 m,2.314 m,18.5136,,211408.315,550542.216,,,,,
5,127.1291127, E,37.55433958, N,0.776 m,3.114 m,15.3337,,211408.568,550542.975,,,,,
6,127.129115, E,37.55434633, N,0.748 m,3.89 m,15.9217,,211408.773,550543.724,,,,,
7,127.1291173, E,37.55435281, N,0.776 m,4.639 m,15.3338,,211408.977,550544.444,,,,,
8,127.1291196, E,37.55435956, N,0.741 m,5.415 m,15.101,,211409.181,550545.193,,,,,
9,127.1291218, E,37.554366, N,0.745 m,6.156 m,15.6027,,211409.373,550545.909,,,,,
10,127.1291241, E,37.55437247, N,0.751 m,6.901 m,17.0695,,211409.573,550546.627,,,,,
11,127.1291266, E,37.55437894, N,0.73 m,7.652 m,17.1526,,211409.792,550547.345,,,,,
12,127.129129, E,37.55438523, N,0.71 m,8.383 m,17.2406,,211410.007,550548.043,,,,,
13,127.1291314, E,37.55439133, N,0.71 m,9.092 m,17.2406,,211410.216,550548.721,,,,,
14,127.1291338, E,37.55439744, N,0.688 m,9.802 m,16.937,,211410.426,550549.4,,,,,
15,127.1291361, E,37.55440337, N,0.674 m,10.49 m,15.9658,,211410.625,550550.058,,,,,
16,127.1291381, E,37.55440921, N,0.688 m,11.164 m,16.937,,211410.809,550550.706,,,,,
17,127.1291404, E,37.55441514, N,0.65 m,11.852 m,17.9573,,211411.009,550551.364,,,,,
18,127.1291427, E,37.5544207, N,0.641 m,12.501 m,15.4119,,211411.208,550551.983,,,,,
19,127.1291446, E,37.55442627, N,0.636 m,13.142 m,16.9501,,211411.378,550552.601,,,,,
